year,month,hou,1000hPa_air,850hPa_air,1000hPa_rhum,850hPa_rhum,1000hPa_wind,850hPa_wind,1000hPa_azimuth,850hPa_azimuth,1000hPa_number,850hPa_number,850hPa_omega
2021,1,1,18.5922607421875,7.7916931152344,63.8167728424072,78.2431420326233,10.0031822286525,8.46669828173391,53.2651212076525,74.3853883848007,3,3,0.0506677698130093
2021,1,2,21.2307098388672,13.2205886840821,86.6723594665527,92.1245281219482,7.73145072262582,7.37331253441703,64.4676871098545,110.18464603326,3,5,-0.0627123026820306
2021,1,3,18.5006469726563,9.7503372192383,75.5991424560547,77.7466896057129,6.59412720182539,4.14343783851873,43.2644898888453,96.6232982626004,2,4,0.0628068466128408
2021,1,4,19.4584350585938,8.81188049316409,73.761555480957,91.614635848999,8.34367400558711,6.90270247975503,62.0128928444288,82.6479281419016,3,4,0.0193416494558108
2021,1,5,15.6254028320313,8.31517181396487,73.8111967086792,97.560192489624,10.3470900136389,6.30618868624042,40.3208996243111,78.9176243645461,2,4,0.0295566655668399
2021,1,6,19.7781806945801,9.53210728963218,66.5151673952738,80.4329295158386,6.98848308254082,5.30623919022395,61.4290466158753,76.8653534141092,3,4,0.0240540471536667
2021,2,1,17.6709106445313,7.52079925537112,68.8134084701538,93.5527519226074,10.850056390817,9.05117978209298,50.7004549107893,72.9817448334345,3,3,0.0517658213212637
2021,2,2,18.9051513671875,10.3321090698242,80.8239767074585,94.7842437744141,9.86445359496442,9.19110838105967,62.9448914918049,99.3837359872907,3,4,-0.0479081717428346
2021,2,3,21.8846267700196,13.2184020996094,83.4947574615478,90.2832717895508,5.45444039975896,7.49755683636686,109.139110252645,162.870054063427,5,6,-0.023903262979708
2021,2,4,17.307780456543,11.1126571655274,71.8370306015015,86.3536218643189,9.98232267816591,5.68355965668864,62.5094363097803,93.258791701886,3,4,0.0533210102773605
2021,2,5,16.6471099853516,6.85302581787112,63.3472993850708,83.3820316314697,10.6225203539399,8.24930035312029,42.581475375221,62.0793694726494,2,3,0.0689424328099776
2021,2,6,17.2084620157878,8.90647786458336,50.5179278055827,39.9217960039775,10.3315276237713,8.88960288892892,39.4539172093236,43.1223225636463,2,2,0.0933469107128426
2021,3,1,18.4277374267578,9.02918090820315,58.460612487793,46.8575118541718,10.5494427078623,12.8613050705959,62.9280799009927,72.9901662502667,3,3,0.0432554683302023
2021,3,2,18.2219787597656,8.42895965576174,56.6737869262695,48.7646073818207,8.82230867921388,10.9874383341295,54.7069453040472,64.6544815759224,3,3,0.0631913648948955
2021,3,3,20.7515426635742,10.7680786132813,79.4082347869873,85.4822744369507,7.26206134870059,7.54233475266251,89.1086090353459,126.85242064231,4,5,-0.0218009929686272
2021,3,4,23.3936752319336,15.8108764648438,90.4626441955566,73.2889812469482,5.69235561817195,6.92448514139224,163.585004342289,229.424093291792,6,9,-0.0235896329942451
2021,3,5,23.4518966674805,17.0442214965821,86.322220993042,61.9201442718506,6.26553465988006,4.87836567046727,123.698569081639,162.175569256279,5,6,-0.00740754919103613
2021,3,6,22.8815704345703,16.0974403381348,84.9456717173259,60.3362185160319,4.38979577844486,3.57957164584488,112.078338265286,135.04740694661,5,6,0.0189546188274049
2021,4,1,23.7115036010742,18.7349517822266,83.9665870666504,51.3119020462036,7.30993785759955,5.69764589531554,169.865348437908,224.50444146266,7,8,-0.0172833528024202
2021,4,2,23.7680908203125,17.2766235351563,83.717200088501,74.0162879943848,3.73388471503455,1.72117023591976,99.8371727615333,187.81048161605,4,7,-0.00543439946638271
2021,4,3,24.3491424560547,19.7524383544922,85.7015193939209,56.881046295166,4.98133770645415,2.84230411025096,128.376771759725,192.651349093717,5,7,0.00904929067879806
2021,4,4,24.862045288086,20.022396850586,84.4340782165527,39.0016097068787,5.70853792272357,3.99726483886562,155.258210041207,175.857520314639,6,7,0.0148241567036091
2021,4,5,26.1956939697266,19.8531005859375,83.3728302001953,59.559015083313,8.05480455236675,5.70658659654993,171.832285960859,222.164199564181,7,8,-0.0113898535913629
2021,4,6,25.4353164672852,19.6137405395508,83.6341823577881,48.4162589073181,4.33641419063681,4.51688242492743,131.451785075744,117.38288810687,5,5,0.0168612975250363
2021,5,1,26.4890258789063,17.1439285278321,80.8061618804932,70.6673746109009,6.18479124938902,6.253468596446,149.284901555949,174.323472604214,6,7,-0.0163307628390482
2021,5,2,26.9589447021485,18.2650344848633,82.8058650970459,68.8611814498901,4.38916352369567,3.80699342350974,145.022117170657,152.733258991896,6,6,-0.00360041288825967
2021,5,3,27.0434967041016,17.3588211059571,78.5327903747559,73.0045824050903,4.71293960364061,3.23457112443902,143.931761390171,160.029001205474,6,6,-0.00691722526158035
2021,5,4,27.7151626586914,19.0261611938477,78.9240127563477,62.643482208252,4.98124156578115,3.42974522615216,158.08682955141,188.68293564892,6,7,-0.000494407960400239
2021,5,5,27.751530456543,18.5594604492188,75.730347442627,60.2707057952881,3.845875598993,2.10711467009131,140.39281764057,118.471677451845,6,5,0.00977498704872959
2021,5,6,27.1602887471517,18.4505477905274,82.7444225947062,76.6134285926819,2.84031754495403,1.66914367800281,142.186409900364,237.229171000628,6,9,-0.0282363109982498
2021,6,1,28.5504013061524,18.2508911132813,77.8457918167114,85.5193397521973,2.88864418366014,5.20478645978904,85.9753118560862,38.8384697711835,4,2,0.0261534182014797
2021,6,2,29.9812896728516,20.6434371948242,78.9013549804688,78.3240669250488,4.48392046321544,4.57042236754647,198.587685127281,191.085826484243,8,7,-0.014638623202665
2021,6,3,30.709375,21.9335906982422,79.9838882446289,77.4916114807129,7.75509595990573,8.75049293125889,203.19552739379,243.847498640287,8,9,-0.0372864768377908
2021,6,4,29.3425765991211,21.0754440307617,80.9261566162109,75.5377531051636,8.99738578585372,10.3811874748798,197.448471370417,232.014785665536,8,9,-0.0295693211963572
2021,6,5,28.475309753418,19.8068832397461,79.4873077392578,70.5163541793823,5.91058590178741,4.14872424276337,184.707320450708,205.690840483373,7,8,-0.0154838042658219
2021,6,6,27.9880981445313,19.1054840087891,83.3920406341553,77.5796918869019,3.70770054589051,4.49089994599321,197.255541314955,254.314472777504,8,9,-0.0461915034084894
2021,7,1,28.5835479736328,19.8047241210938,84.4455146789551,83.4767936706543,7.5404326727551,11.2333937527756,209.580790288787,245.251360957458,8,9,-0.0915248470681292
2021,7,2,30.0049819946289,21.7332672119141,79.225634765625,68.8693780899048,7.37961810295888,7.17171431623548,198.98546476505,243.03668764921,8,9,-0.00827476663197599
2021,7,3,28.729899597168,19.2347610473633,83.0819175720215,81.1457412719727,6.27162631046855,6.55203110170468,159.661152655268,155.850477074167,6,6,-0.0492779479284765
2021,7,4,29.9994705200196,20.8141220092774,80.705792427063,78.8364559173584,6.50352507165758,7.28668188805144,196.525081161012,251.812207718282,8,9,-0.0329797134184091
2021,7,5,30.3459243774414,22.6419204711914,80.5294441223145,75.8666273117065,9.809116724018,14.1918168354304,231.598724247608,272.648832456374,9,10,-0.0594850846652032
2021,7,6,29.5630037943522,21.0537696838379,83.16392771403,89.2786095937093,11.3340124017251,18.0726773711473,227.977771836763,266.288627744771,9,10,-0.0948936373521198
2021,8,1,29.4851196289063,20.6743728637696,82.3510047912598,85.7528659820557,9.20450351659003,12.0894330101369,198.89300087218,235.343033354565,8,9,-0.0421674433003156
2021,8,2,29.2342117309571,20.8274139404297,83.6017757415771,81.4074447631836,8.47458982228563,8.24492881461988,191.403056323624,225.241246582446,7,9,-0.0224270972460388
2021,8,3,29.3492965698242,20.8671340942383,81.680640411377,76.4096588134766,8.3888414214381,10.8293448943968,197.221131107827,232.793594409813,8,9,-0.0445982242847107
2021,8,4,29.0888366699219,20.2219253540039,83.1444389343262,77.4150672912598,7.64781995430436,12.5602372972337,210.161081325976,243.988055776947,8,9,-0.0405375361006518
2021,8,5,29.7825820922852,21.0125549316406,80.8466499328613,77.3129079818726,9.17292196050423,12.1720006774684,191.729468235984,226.553668415791,7,9,-0.0728590642849377
