year,month,hou,1000hPa_air,925hPa_air,850hPa_air
2000,1,1,12.5625110626221,11.8625033855438,8.92875845432281
2000,1,2,7.24999852180481,4.96750340908766,5.46250611543655
2000,1,3,4.39000243991613,1.49750366210937,2.5975082308054
2000,1,4,1.96750330626965,-0.698747271671891,-2.39374547451735
2000,1,5,2.3700058221817,0.257505788188428,0.927503924351186
2000,1,6,-2.42083719621102,-4.83020378152529,-5.79582699139913
2000,2,1,0.0837539304047823,-2.2612427175045,-1.57623749673367
2000,2,2,5.50875389575958,3.08125908374786,0.878755185008049
2000,2,3,9.92500486373901,6.75375521183014,4.22750696837902
2000,2,4,6.91000833511353,3.59250639267266,2.82750549651682
2000,2,5,4.92500143051147,1.32000730000436,-0.473742713779211
2000,2,6,6.62657502293587,3.12344505637884,-1.08905830746517
2000,3,1,11.3412601232529,7.80625319480896,5.00000301599503
2000,3,2,9.82000153064728,6.14375610351563,3.08125452101231
2000,3,3,10.6062503099442,6.84250340461731,4.73000487685204
2000,3,4,13.2312534332275,10.2162539958954,7.61999974250793
2000,3,5,13.78625831604,10.323747587204,7.36250767707825
2000,3,6,17.9552110036214,16.2864627838135,12.9198004206022
2000,4,1,16.4350070953369,12.4212543487549,9.5300036907196
2000,4,2,16.8450061798096,13.2587619781494,10.0112567424774
2000,4,3,16.5250019073486,13.1062549591064,10.5750048160553
2000,4,4,19.8912540435791,16.7800067901611,13.1362552642822
2000,4,5,20.0750049591064,16.7475025177002,13.6387516021729
2000,4,6,19.7687519073486,16.1200031280518,12.2300037384033
2000,5,1,23.1024997711182,20.3237567901611,15.8800067901611
2000,5,2,22.9537570953369,19.5612552642822,16.0062610626221
2000,5,3,26.3112537384033,24.2275012969971,19.7500003814697
2000,5,4,23.0000064849854,20.1212589263916,16.3425052642822
2000,5,5,25.653755569458,22.5262516021729,17.7262561798096
2000,5,6,24.5166721343994,20.59792137146,17.1322994232178
2000,6,1,26.7737522125244,22.891255569458,19.3775074005127
2000,6,2,25.2700000762939,21.4237613677979,17.5837574005127
2000,6,3,23.7850070953369,20.2725025177002,15.4812564849854
2000,6,4,26.2050052642822,22.9687595367432,18.5050067901611
2000,6,5,26.85500831604,23.2937519073486,19.5100070953369
2000,6,6,28.6625080108643,25.4737537384033,21.5487567901611
2000,7,1,27.9825046539307,25.1875049591064,21.0862522125244
2000,7,2,27.3375019073486,24.1962512969971,20.1425098419189
2000,7,3,29.0025043487549,26.1362567901611,21.8237506866455
2000,7,4,28.5462619781494,25.0387516021729,20.8100070953369
2000,7,5,28.5787586212158,25.5024997711182,22.0037601470947
2000,7,6,29.3406276702881,26.5458393096924,22.4239660898844
2000,8,1,27.3362567901611,24.1337589263916,19.8925022125244
2000,8,2,28.3000049591064,25.5750034332275,21.2625049591064
2000,8,3,28.2687519073486,25.1712574005127,20.9350116729736
2000,8,4,27.1050067901611,23.8300067901611,20.0262516021729
2000,8,5,26.6312549591064,23.291255569458,19.4325016021729
2000,8,6,25.9000085194906,22.3385499318441,18.4541772206624
2000,9,1,27.2825061798096,24.2262577056885,20.2600009918213
2000,9,2,20.5312595367432,16.7312534332275,13.0787540435791
2000,9,3,21.1075031280518,18.2837558746338,13.7025043487549
2000,9,4,24.0950031280518,22.0162540435791,16.5625019073486
2000,9,5,24.6900074005127,22.2662570953369,18.0537570953369
2000,9,6,22.5462604522705,19.5762607574463,16.3412540435791
2000,10,1,22.3037570953369,18.8112552642822,15.0412586212158
2000,10,2,23.6612552642822,21.0575077056885,16.7212574005127
2000,10,3,15.2350040435791,11.6725054740906,10.21750664711
