year,month,hou,首迁期,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计,1000hPa_air,925hPa_air,850hPa_air,1000hPa_omega,925hPa_omega,850hPa_omega,1000hPa_rhum,925hPa_rhum,850hPa_rhum,1000hPa_wind,925hPa_wind,850hPa_wind,1000hPa_azimuth,925hPa_azimuth,850hPa_azimuth,1000hPa_number,925hPa_number,850hPa_number
2001,1,1,2001-05-21 00:00:00,0,0,0,10.7187564849854,7.33750615119934,4.37500448226929,-0.0357519388198853,-0.0465520143508911,-0.0686395406723022,84.9750148773193,80.7500150680542,71.5500131607056,4.01248573565194,5.48170568880808,3.92948167985568,88.7193522016124,118.22801499208,169.18760445277,4,5,7
2001,1,2,2001-05-21 00:00:00,0,0,0,8.86125200390816,5.6875016450882,5.11750652045012,-0.0040271759033203,0.0054979801177978,0.0075105905532836,90.0500152587891,87.0625152587891,65.8625120162964,2.47353038097454,3.86811460209519,6.69663408391681,243.404122436019,188.539919120412,261.819093869195,9,7,10
2001,1,3,2001-05-21 00:00:00,0,0,0,4.9425049290061,1.8275023791939,-0.507490576803684,0.0099354982376098,0.0394603967666626,0.0567478656768799,80.6875152587891,66.5500129699707,42.2750053405762,2.85281125699524,3.68827250944252,5.27584940769819,17.1378811987673,79.4433799676114,313.247347040589,2,4,11
2001,1,4,2001-05-21 00:00:00,0,0,0,9.31750202775001,6.8837510228157,4.26875455975533,-0.0146520137786865,-0.0120395421981812,-0.0252269744873047,87.4875152587891,79.9500137329102,74.8750137329102,2.6067640387642,2.82676231273169,5.03723956770064,74.3651996896821,153.281980618264,250.667720638244,3,6,9
2001,1,5,2001-05-21 00:00:00,0,0,0,10.185008430481,7.03000500798225,5.7225052177906,-0.0404769420623779,-0.0769895315170288,-0.0996395587921143,96.6000152587891,96.5250152587891,92.7625152587891,5.26672429264799,6.0617975109267,5.29499370745589,39.8194173145887,74.6257776158246,218.058882999513,2,3,8
2001,1,6,2001-05-21 00:00:00,0,0,0,5.14375588297844,2.60730132584771,1.00833659519753,-0.008574903011322,0.0192895929018656,0.0310500065485636,81.9479319254557,61.7708449363708,40.4687560399373,3.1121351239785,4.71232068672652,5.06567920419479,206.579659333656,170.354161298616,253.37775555674,8,7,9
2001,2,1,2001-05-21 00:00:00,0,0,0,8.35750596523285,4.84625707156956,3.03250578865409,-0.0299021005630493,-0.0327769994735718,-0.04848952293396,88.3750150680542,84.9250143051147,77.9375129699707,3.54393210074158,4.99251872204132,5.1099137573889,66.3744834349891,109.697414864166,170.607253707566,3,5,7
2001,2,2,2001-05-21 00:00:00,0,0,0,6.98500374555588,3.53625181913376,2.43625485599041,-0.0081895112991333,0.000585389137268,0.000172996520996,92.6000152587891,87.6625152587891,74.0500131607056,3.90620169404617,5.2874975588388,3.77280713262959,41.466817163198,58.0085446635629,111.602012097023,2,3,5
2001,2,3,2001-05-21 00:00:00,0,0,0,6.84001014232635,3.38125458210707,1.34250787347555,-0.0362769842147827,-0.0412019968032837,-0.0411270618438721,89.6375152587891,82.8500146865845,67.7625102996826,4.2273772440738,6.33403603296138,5.25247788965004,150.135950565658,101.104544506221,180.839472679827,6,4,7
2001,2,4,2001-05-21 00:00:00,0,0,0,12.060010099411,9.8937533184886,7.20875409692526,-0.0152770757675171,-0.0032395839691162,-0.0004645347595214,84.9250152587891,72.1375144958496,63.0875123977661,3.31848748542372,4.69682236875222,4.96656000660352,106.350369011011,170.547471930346,208.906301500022,5,7,8
2001,2,5,2001-05-21 00:00:00,0,0,0,11.6900072395802,8.4475084528327,7.5700075365603,-0.0065020084381103,0.0171479463577271,0.0222480297088623,89.3500152587891,86.7125152587891,68.0250133514404,3.77050263702878,6.30538786732018,8.08672139563724,126.614423703173,167.133710109559,176.470646180531,5,7,7
2001,2,6,2001-05-21 00:00:00,0,0,0,9.72708563009898,6.06458691755931,4.63542327781518,-0.0313979784647624,-0.0191687742869059,-0.0175020297368368,95.8333485921224,94.6041819254557,87.3750149408976,2.81305542240578,5.40416311990734,8.37034563774363,258.719347803539,266.473829026291,272.30484475294,10,10,10
