year,month,hou,首迁期,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计,1000hPa_air,925hPa_air,850hPa_air,1000hPa_omega,925hPa_omega,850hPa_omega,1000hPa_rhum,925hPa_rhum,850hPa_rhum,1000hPa_wind,925hPa_wind,850hPa_wind,1000hPa_azimuth,925hPa_azimuth,850hPa_azimuth,1000hPa_number,925hPa_number,850hPa_number
2006,1,1,2006-05-10,0,0,0,21.2337512969971,16.9237537384033,13.7650073766708,-0.0774271011352539,-0.0805020332336426,-0.0739020109176636,69.8625131607056,69.8750131607056,64.5250118255615,2.14054454484341,2.69493069453544,4.47837372445765,188.403617236429,184.13657646335,212.449551553529,7,7,8
2006,1,2,2006-05-10,0,0,0,16.2000019073486,11.8787554979324,9.25875723361969,-0.100739598274231,-0.0958895206451416,-0.0897395610809326,75.3375146865845,75.3625146865845,75.0875146865845,1.90336831688206,1.95157181823882,2.84297885537087,136.723848997032,134.604975101088,185.041424826784,6,5,7
2006,1,3,2006-05-10,0,0,0,21.6800067901611,17.328755569458,13.9687549591064,-0.0639020681381226,-0.0667395830154419,-0.0653769969940186,56.6500104904175,56.6500104904175,52.4750099182129,1.88958857441102,2.18724523597597,4.60063522014855,203.950101797493,202.301562635527,238.287233092291,8,8,9
2006,1,4,2006-05-10,0,0,0,21.8737552642822,17.8400089263916,14.4000034093857,-0.0526895761489868,-0.0626894950866699,-0.058714485168457,55.1750095367432,55.1750095367432,49.5250074386597,2.65374555248734,2.96055546774603,5.24959060302697,197.045447037925,196.433100465129,233.507994144119,8,8,9
2006,1,5,2006-05-10,0,0,0,16.441255569458,12.1887591838837,9.34750542640686,-0.0857895851135254,-0.0907019853591919,-0.0870020389556885,73.0750143051147,73.0500143051147,71.5750141143799,2.17740187949749,2.62559439836527,2.71945912722123,113.683890885514,110.290030249334,145.662788472885,5,5,6
2006,1,6,2006-05-10,0,0,0,20.8552125295003,16.5458431243896,13.4958375096321,-0.0476686954498291,-0.0484187602996826,-0.0300020376841227,59.0104273160299,58.9687606493632,54.9895936648051,1.60688068656363,2.07263414022935,3.6135599156822,184.304701309023,179.396616881834,211.884384455776,7,7,8
2006,2,1,2006-05-10,0,0,0,22.1412540435791,17.7512607574463,14.0512546539307,-0.0994144678115845,-0.10365195274353,-0.113539433479309,73.3625129699707,73.4375129699707,72.5625131607056,3.19127805709174,3.78484724025059,5.98291704325083,165.326573169245,164.010522492516,184.582120240409,7,6,7
2006,2,2,2006-05-10,0,0,0,20.6437534332275,16.2912586212158,12.4075016021729,-0.107639503479004,-0.113714599609375,-0.114964556694031,82.6875148773193,82.7125148773193,82.2000148773193,2.83609342973357,3.23835103241929,5.22940284310613,158.367675745141,160.148216413473,179.307405629474,6,6,7
2006,2,3,2006-05-10,0,0,0,22.5512546539307,18.2412631988525,14.5900074005127,-0.0610394239425659,-0.0598770618438721,-0.0437270402908325,65.8875114440918,65.8875114440918,63.6500112533569,3.17899756237958,3.48340406889938,6.10266448494144,199.860216618984,198.747329073574,221.921944399712,8,8,8
2006,2,4,2006-05-10,0,0,0,20.6537540435791,16.371252822876,12.9000094890594,-0.0686772584915161,-0.0698270320892334,-0.0894894599914551,81.3375141143799,81.3500141143799,81.3625141143799,1.78279606873649,2.24247885015918,4.26176843822272,135.623171769258,129.882458429638,174.698356612265,6,5,7
2006,2,5,2006-05-10,0,0,0,21.5700092315674,17.4050006866455,13.935005569458,-0.0645645141601563,-0.0657020568847656,-0.0832021236419678,87.1625148773193,87.1625148773193,85.4750148773193,2.37106888616177,2.70579101695949,4.76464561094209,155.537003711724,152.473349506341,183.664030812752,6,6,7
2006,2,6,2006-05-10,0,0,0,21.8083337148031,17.710423151652,14.1916776895523,-0.0903144677480062,-0.0910021066665649,-0.123751878738403,73.3541790644328,73.3541790644328,71.4583457310994,2.5134336830185,3.18298033207176,4.25398156293007,114.714836577112,109.48219397149,143.007142294485,5,5,6
2006,3,1,2006-05-10,0,0,0,19.9550098419189,15.7687549352646,12.3500018358231,-0.0721645593643188,-0.0685519218444824,-0.0537145614624023,68.7250135421753,68.7625135421753,69.950013923645,2.11217973324057,2.43312337942152,3.91866876326479,152.477614796903,146.51457792861,182.113098388562,6,6,7
2006,3,2,2006-05-10,0,0,0,25.5725070953369,21.2175067901611,17.6512546539307,-0.0516018629074097,-0.0499646425247192,-0.0450770139694214,53.5000093460083,53.5000093460083,52.6000095367432,1.51419257921442,2.08107267404784,3.97792381547488,185.356899851189,181.220004857295,224.191464055606,7,7,8
2006,3,3,2006-05-10,0,0,0,22.7512607574463,18.5900012731552,15.1850055217743,-0.0846270561218262,-0.0836395263671875,-0.100202083587646,69.6625116348267,69.6750116348267,68.5750116348267,2.63929885230387,3.09933042114442,5.25981307271457,152.733096036311,150.760400209347,174.759600083387,6,6,7
2006,3,4,2006-05-10,0,0,0,27.2075046539307,22.9237552642822,19.1737567901611,-0.0743021011352539,-0.0738021612167358,-0.078514552116394,61.2750099182129,61.2750099182129,59.3500102996826,2.83306363175543,3.44871136542144,6.22765612791901,191.217051011446,185.929308663677,209.371820327856,7,7,8
2006,3,5,2006-05-10,0,0,0,26.5475086212158,22.2775089263916,18.546252822876,-0.0740394592285156,-0.0716395378112793,-0.0753895044326782,54.8875091552734,54.8875091552734,51.9375091552734,1.51508742376023,1.99700001183836,3.79054461453624,155.462018585779,157.836156598025,216.338697566128,6,6,8
2006,3,6,2006-05-10,0,0,0,26.5593776702881,22.2677135467529,18.3687521616618,-0.0608352820078532,-0.061731219291687,-0.0567832986513774,58.1458436648051,58.1458436648051,57.5104268391927,1.70778071100525,2.06622713909832,3.97974694861361,209.995271992924,149.446493825852,219.04678621771,8,6,8
2006,4,1,2006-05-10,0,0,0,29.4212527275085,25.202502822876,21.0787525177002,-0.0132520437240601,-0.0147145509719849,0.0024978876113891,43.3125066757202,43.3125066757202,40.3625053405762,2.98714915123249,3.52645506231776,5.88381333384001,224.59115961852,221.260966042907,238.792543524986,8,8,9
2006,4,2,2006-05-10,0,0,0,28.1150058746338,23.8625064849854,20.2850040435791,-0.0347646236419678,-0.0396020174026489,-0.0238019704818726,65.3500118255615,65.3500118255615,59.9375116348267,3.03569852303121,3.62673062840962,6.14603311382884,194.867762832071,194.491189697665,217.173262341631,7,7,8
2006,4,3,2006-05-10,0,0,0,28.4175045967102,24.1387531280518,19.9525074005127,-0.0537769794464111,-0.0514397144317627,-0.0602395534515381,61.6375106811523,61.6375106811523,61.475009727478,2.79064063266656,3.15305088688296,4.53487514562569,175.745647239542,170.136548047826,204.295615697616,7,7,8
2006,4,4,2006-05-10,0,0,0,26.6425098419189,22.3125095367432,17.9087558746338,-0.0950269937515259,-0.0921769618988037,-0.0799895524978638,83.7375146865845,83.7375146865845,84.5125146865845,2.55774176373108,2.9684281919053,4.61184978670252,172.225608836315,172.474159035775,199.353938914462,7,7,8
2006,4,5,2006-05-10,0,0,0,29.5937580108643,25.4250034332275,21.3187519073486,-0.0665520668029785,-0.0611770391464233,-0.0413519859313965,57.8500099182129,57.8500099182129,55.1500099182129,2.29374471350194,2.6159505463856,5.01687015361637,224.036066176167,223.141980180142,240.59099515392,8,8,9
2006,4,6,2006-05-10,0,0,0,26.0862522125244,21.7787586212158,17.7312564849854,-0.0306394815444946,-0.0330395221710205,-0.0215020656585693,75.8000133514404,75.8000133514404,71.6750127792358,1.59759593366167,2.04554997796195,3.68267211516796,135.401904154,136.429870829134,161.219897589291,6,6,6
2006,5,1,2006-05-10,0,0,0,29.5500064849854,25.2925022125244,21.4837574005127,-0.0432520866394043,-0.0426895141601562,-0.0173645257949829,71.6250129699707,71.6250129699707,65.2875127792358,2.37018010807812,2.98391343341222,5.39938113496253,211.86861417176,208.81443602074,230.76610512111,8,8,9
2006,5,2,2006-05-10,124,0,124,30.9350052833557,26.7687580108643,22.4625080108643,-0.0609645843505859,-0.0637770414352417,-0.0558145046234131,65.8750127792358,65.8750127792358,62.975012588501,2.58657076978208,3.08886547307163,5.02426657873432,203.618070242033,202.850206434823,225.428230344976,8,8,9
2006,5,3,2006-05-10,392,0,13,24.0650012969971,19.9225070953369,15.6962558746338,0.0013980388641357,-0.0075145959854126,-0.0189894437789917,87.0500152587891,87.0250152587891,81.9625150680542,3.85429762370688,4.26222739125699,6.44966253513724,79.7878641706091,81.8485300142457,102.879995200982,4,4,4
2006,5,4,2006-05-10,1,0,38,28.8375003814697,24.5250049591064,20.512512588501,-0.0363519191741943,-0.0488645553588867,-0.0559395551681519,54.887509727478,54.887509727478,50.1250082015991,2.04752980127161,2.02758583993205,3.58541773495372,133.540524535071,128.637358541761,127.611494729129,5,5,5
2006,5,5,2006-05-10,730,0,26,27.8262561798096,23.5337512969971,18.8925052642822,-0.0817270755767822,-0.0855770349502563,-0.0935270547866821,93.6375152587891,93.6375152587891,92.3750152587891,2.43451326408776,2.7463843583855,4.93809559776949,138.309322507937,138.40609573645,159.00256198058,6,6,6
2006,5,6,2006-05-10,589,0,37,28.0406309763591,23.8041718800863,19.4479262034098,-0.0825020869572957,-0.0920435587565104,-0.0934707522392273,95.2916819254557,95.2916819254557,91.4895985921224,1.54658493434044,1.72333573422972,2.6533893245333,177.500102722247,182.743122434901,228.666198689704,7,7,9
2006,6,1,2006-05-10,816,0,16,30.4275027275085,26.2450016021729,21.6662540435791,-0.0488269805908203,-0.0512020111083984,-0.0228894710540771,87.8250152587891,87.8250152587891,85.6250152587891,2.98364167303557,3.26771128135747,5.43552748097151,213.179632822123,213.936795247308,232.704184486815,8,8,9
2006,6,2,2006-05-10,565,0,13,30.3150130271912,25.9562564849854,21.1412616729736,-0.047289514541626,-0.0520644426345825,-0.036264443397522,88.2625152587891,88.2625152587891,87.9000152587891,1.61243045292169,1.75671906988064,3.55497581149347,271.757127201043,276.210595866652,277.720124164978,10,10,10
2006,6,3,2006-05-10,359,0,421,30.2450107574463,25.9562564849854,21.4287540435791,-0.0455269336700439,-0.0531520128250122,-0.0426270484924316,87.4375152587891,87.4375152587891,83.7375152587891,1.38463147713612,1.68901683225787,3.38639800093731,187.538209488933,200.652591853489,238.144859345187,7,8,9
2006,6,4,2006-05-10,35,0,176,30.2287569046021,25.8650058746338,21.5962574005127,-0.0459394216537476,-0.0583270311355591,-0.0528645515441895,88.7125152587891,88.7125152587891,83.3750148773193,1.84879752493595,2.27750499071589,3.75094869081959,155.43768663335,160.570367952601,184.3383872297,6,6,7
2006,6,5,2006-05-10,3,0,0,29.4612567901611,25.0925052642822,21.1237522125244,-0.0692144870758057,-0.0787020206451416,-0.06255202293396,95.7125152587891,95.7125152587891,87.2375152587891,2.22595577061053,2.52210266790269,3.83044563845201,183.322981595326,182.77779628317,209.442771255487,7,7,8
2006,6,6,2006-05-10,52,0,2370,30.3962512969971,26.1187519073486,22.0087543487549,-0.0629019737243652,-0.0682895660400391,-0.0507144927978516,93.3750152587891,93.3750152587891,87.5750152587891,2.51238326393781,2.69983172493269,4.27930305711514,211.400791391566,209.069942060109,227.295497397896,8,8,9
2006,7,1,2006-05-10,182,0,241,30.472505569458,26.0000064849854,21.4762546539307,-0.0341643810272217,-0.0457269906997681,-0.0462770223617554,94.7125152587891,94.7125152587891,92.8125152587891,2.52344233973317,2.46918784581747,3.4179358944514,205.160168529523,194.160048342203,210.121094689002,8,7,8
2006,7,2,2006-05-10,1002,0,281,30.8850069046021,26.6400058746338,22.3812549591064,-0.0436270475387573,-0.0423770427703857,-0.0245896100997925,95.3000152587891,95.3000152587891,90.8625152587891,2.23757240035002,2.37489271067994,3.8239361456626,253.035254855181,262.089718363413,283.276576883508,9,10,10
2006,7,3,2006-05-10,29,0,77,31.1462586402893,27.0325061798096,22.9062549591064,-0.0270020723342895,-0.0242396116256714,-0.005589485168457,94.8125152587891,94.8125152587891,88.5875152587891,2.09308935185142,2.12890251255917,3.05109881278522,250.696901749584,259.017011786191,274.161415552155,9,10,10
2006,7,4,2006-05-10,376,0,198,30.068754863739,25.7937580108643,21.3362552642822,-0.04848952293396,-0.0520395040512085,-0.0420146465301514,95.2000152587891,95.2000152587891,92.0250152587891,2.28399653095103,2.56396897906614,4.12843612293135,208.687336404962,211.719837774764,229.658743535771,8,8,9
2006,7,5,2006-05-10,24,0,22,30.0437595367432,25.8487567901611,21.741255569458,-0.0332144737243652,-0.035364556312561,-0.0288520812988281,92.3625152587891,92.3625152587891,84.6875152587891,1.49786391065583,1.5261865969575,2.2430484431834,261.390518083206,188.975732027518,198.341080031521,10,7,8
2006,7,6,2006-05-10,55,0,7,29.535426457723,25.2364648183187,21.0593802134196,-0.0105853676795959,-0.0237104892730713,-0.0353665351867676,91.9791819254557,91.9791819254557,86.3437652587891,1.56056776808367,1.79206260559884,3.3437882068191,230.759780283329,189.994455577422,214.24842886089,9,7,8
2006,8,1,2006-05-10,278,0,62,29.0137546539307,24.915002822876,20.6987537384033,0.0077478885650634,2.30312347412109e-05,-0.0281645774841309,92.2625152587891,92.2625152587891,87.5750152587891,2.05810253932204,2.3044254122477,4.02822342869476,274.852811783978,226.379029730607,38.541929598147,10,9,2
2006,8,2,2006-05-10,175,0,0,29.4437595367432,25.0712512969971,20.6712589263916,-0.0190644979476929,-0.0274019718170166,-0.0510519504547119,96.0750152587891,96.0750152587891,93.6750152587891,0.669598781094251,0.884925931372203,1.57694797039957,126.948807899595,136.16211618874,153.512427861317,5,6,6
2006,8,3,2006-05-10,6,0,0,30.1125019073486,25.7487537384033,21.6512561798096,-0.0173020601272583,-0.0237645626068115,-0.027951979637146,91.5625152587891,91.5625152587891,85.6875152587891,0.964652247617839,1.24885859268259,1.98481308898186,194.086411720694,129.079901073121,110.912664728154,7,5,5
2006,8,4,2006-05-10,8,0,107,30.1400104522705,25.8512531280518,21.4112567901611,-0.0060645341873168,-0.0111644744873047,-0.0329520225524902,93.6375152587891,93.6375152587891,91.3375152587891,0.977691552086684,1.07793778767569,1.4010707094418,189.335484413588,183.00163419073,172.686303737138,7,7,7
2006,8,5,2006-05-10,28,0,152,28.897505569458,24.8037540435791,20.3662601470947,-0.0322519302368164,-0.0288020133972168,-0.0398520946502686,94.2125152587891,94.2125152587891,88.0125152587891,0.542982203285179,0.911310286221267,1.72152241237945,245.968782248619,99.7032113255863,110.678305897252,9,4,5
2006,8,6,2006-05-10,15,0,155,29.2218837738037,24.9000059763591,20.4260501861572,-0.0404707789421082,-0.0531270702679952,-0.0458249449729919,94.2187652587891,94.2187652587891,90.2083485921224,1.84473905103408,2.16504185455626,3.75911544184989,173.320139984138,166.895654061332,174.398055780779,7,7,7
