year,month,hou,1000hPa_rhum,925hPa_rhum,850hPa_rhum
2000,1,1,74.9250146865845,67.9875146865845,76.7125152587891
2000,1,2,92.2125152587891,93.0250152587891,92.9875152587891
2000,1,3,94.7875152587891,95.9250152587891,94.9500152587891
2000,1,4,81.6500148773193,76.4500137329102,66.0375116348267
2000,1,5,90.0875152587891,88.2125152587891,86.8875152587891
2000,1,6,69.9166808128357,63.6979297002157,62.208345413208
2000,2,1,86.9625152587891,85.8000152587891,85.0750152587891
2000,2,2,77.7875144958496,71.6000137329102,66.9500129699707
2000,2,3,88.6625152587891,86.7250152587891,80.600013923645
2000,2,4,94.8625152587891,93.9750152587891,91.4500152587891
2000,2,5,96.6750152587891,95.8875152587891,91.2875152587891
2000,2,6,90.2500152587891,85.0937652587891,72.5625121593475
2000,3,1,96.4500152587891,94.8750152587891,86.6250152587891
2000,3,2,95.7000152587891,94.7500152587891,90.9875152587891
2000,3,3,97.8875152587891,96.0625152587891,90.8750152587891
2000,3,4,96.4375152587891,95.3375152587891,88.0625146865845
2000,3,5,92.5875152587891,88.7250152587891,78.2875137329102
2000,3,6,79.1458485921224,61.718761920929,45.1875042915344
2000,4,1,96.5625152587891,94.1750152587891,87.2375152587891
2000,4,2,95.3500152587891,93.5125152587891,88.1250143051147
2000,4,3,94.4000152587891,91.5750152587891,79.6500133514404
2000,4,4,87.3000152587891,80.6125152587891,70.0750102996826
2000,4,5,94.9750152587891,93.4625152587891,86.5500141143799
2000,4,6,95.2125152587891,90.9375150680542,84.6250135421753
2000,5,1,90.1250152587891,83.4375150680542,69.4375122070312
2000,5,2,92.6000152587891,80.1625150680542,63.7250127792358
2000,5,3,80.2125152587891,62.7875143051147,39.1000045776367
2000,5,4,90.8250152587891,79.8375146865845,62.8000104904175
2000,5,5,84.2000152587891,75.0375143051147,70.1875123977661
2000,5,6,96.0625152587891,89.1250152587891,83.8020985921224
2000,6,1,89.7750152587891,78.5750152587891,65.9875152587891
2000,6,2,95.2000152587891,89.9875152587891,83.1625152587891
2000,6,3,86.9750152587891,79.9125152587891,69.7375146865845
2000,6,4,92.7375152587891,82.5750152587891,75.6000150680542
2000,6,5,89.4625152587891,84.8375152587891,76.8750152587891
2000,6,6,88.1250152587891,75.0625152587891,62.8750152587891
2000,7,1,89.7000152587891,72.3750152587891,65.4125152587891
