year,month,hou,1000hPa_rhum,925hPa_rhum,850hPa_rhum
2000,1,1,82.6625152587891,81.3125152587891,77.0625150680542
2000,1,2,93.7875152587891,93.8875152587891,90.5375152587891
2000,1,3,91.5750152587891,91.4000152587891,86.7250152587891
2000,1,4,79.6000148773193,79.4375148773193,74.5125146865845
2000,1,5,93.7125152587891,93.2750152587891,91.4125152587891
2000,1,6,80.2708485921224,78.5104316075643,75.8854319254557
2000,2,1,81.1500150680542,81.3250150680542,79.3625146865845
2000,2,2,69.4875127792358,68.050012588501,60.7750112533569
2000,2,3,82.1750148773193,81.9375148773193,79.4125150680542
2000,2,4,89.2000152587891,89.7375152587891,85.7625152587891
2000,2,5,82.6500143051148,82.1250141143799,77.8375141143799
2000,2,6,73.2968883514404,71.1718883514404,72.937513589859
2000,3,1,85.3125146865845,84.5500148773193,82.6250152587891
2000,3,2,92.4125152587891,91.9375152587891,91.1000152587891
2000,3,3,86.9750152587891,86.4000152587891,78.9375148773193
2000,3,4,80.7125146865845,80.0375148773193,74.6125143051147
2000,3,5,80.5625137329102,79.1500137329102,73.0875131607056
2000,3,6,66.208345413208,62.5416782697042,50.7708411216736
2000,4,1,89.8500152587891,88.2500152587891,81.1750152587891
2000,4,2,85.6000150680542,84.8000146865845,78.7250137329102
2000,4,3,80.9875141143799,79.9750141143799,73.5250144958496
2000,4,4,78.4500144958496,77.7250143051147,68.6625135421753
2000,4,5,85.2375148773193,83.9625148773193,75.2250127792358
2000,4,6,81.4625146865845,78.9750141143799,73.1250131607056
2000,5,1,68.9000123977661,65.8375120162964,56.9625102996826
2000,5,2,85.0375150680542,83.9625148773193,72.0125135421753
2000,5,3,71.0500141143799,69.812513923645,51.5000101089478
2000,5,4,77.2500135421753,74.9375133514404,62.062508392334
2000,5,5,81.1875144958496,80.2750144958496,70.2250114440918
2000,5,6,93.9583485921224,93.6041819254557,85.6145984331767
2000,6,1,92.5500152587891,92.1500152587891,84.2875152587891
2000,6,2,94.3375152587891,94.0875152587891,90.8500152587891
2000,6,3,82.1625152587891,79.9000152587891,66.5000152587891
2000,6,4,89.7250152587891,88.0125152587891,66.9000152587891
2000,6,5,95.0250152587891,94.9000152587891,89.0375152587891
2000,6,6,91.6750152587891,91.0000152587891,76.8625152587891
2000,7,1,90.6125152587891,90.0500152587891,71.7500152587891
2000,7,2,92.8375152587891,92.0250152587891,72.4875152587891
2000,7,3,89.4750152587891,88.8625152587891,76.8875152587891
2000,7,4,88.0750152587891,87.7625152587891,67.0375152587891
2000,7,5,89.8375152587891,89.6000152587891,70.9625152587891
2000,7,6,84.9687652587891,83.47918176651,60.8020966847738
2000,8,1,93.8625152587891,93.1625152587891,87.2750152587891
2000,8,2,92.2000152587891,91.1500152587891,73.3750152587891
2000,8,3,91.0750152587891,89.8500152587891,70.5250152587891
2000,8,4,94.6500152587891,93.8500152587891,82.1000152587891
2000,8,5,89.0000152587891,87.7375152587891,78.6750152587891
2000,8,6,88.1562652587891,86.9479319254557,76.6562652587891
2000,9,1,87.8625152587891,86.3625152587891,71.9125152587891
2000,9,2,90.9000152587891,90.7500152587891,91.2750152587891
2000,9,3,79.0500152587891,75.2250148773193,72.3125150680542
2000,9,4,79.9750152587891,75.3625150680542,59.6250137329102
2000,9,5,93.6250152587891,92.1625152587891,76.6500152587891
2000,9,6,98.2625152587891,97.6875152587891,93.2625152587891
2000,10,1,95.3375152587891,94.2375152587891,87.5125152587891
2000,10,2,91.5000152587891,90.2875152587891,77.5250152587891
2000,10,3,92.8000152587891,92.9875152587891,89.7375152587891
2000,10,4,95.1625152587891,95.1625152587891,88.7000152587891
2000,10,5,97.3125152587891,97.6250152587891,97.3375152587891
2000,10,6,89.54168176651,88.5937649408976,78.3645971616109
2000,11,1,71.5500146865845,67.7875146865845,40.462505531311
2000,11,2,85.1750152587891,84.5750152587891,80.4125148773193
2000,11,3,89.6250152587891,88.9875152587891,79.4125150680542
2000,11,4,86.0250152587891,83.8875152587891,71.2375141143799
2000,11,5,86.2375152587891,83.6875152587891,66.4375120162964
2000,11,6,95.0375152587891,95.0250152587891,93.4625152587891
2000,12,1,89.0500152587891,87.3875152587891,76.2625143051147
2000,12,2,91.7625152587891,90.9875152587891,87.2500152587891
2000,12,3,93.7500152587891,94.0000152587891,77.4000137329102
2000,12,4,94.3125152587891,93.6875152587891,86.9375150680542
2000,12,5,81.8000152587891,79.3500152587891,51.9875099182129
2000,12,6,86.6250152587891,85.5833485921224,77.9270984331767
2001,1,1,93.2375152587891,93.0750152587891,89.8625152587891
2001,1,2,93.2000152587891,93.1500152587891,84.1125152587891
2001,1,3,88.3625152587891,88.0875152587891,77.4750152587891
2001,1,4,92.6500152587891,92.4875152587891,86.5250152587891
2001,1,5,92.7000152587891,93.2375152587891,90.1000152587891
2001,1,6,76.8020977973938,74.2708476384481,62.9479300181071
2001,2,1,68.8125141143799,67.3875141143799,60.8500127792358
2001,2,2,76.6250148773193,75.7375150680542,71.3500152587891
2001,2,3,81.6000148773193,80.5500148773193,74.7500144958496
2001,2,4,81.5125150680542,80.8625150680542,79.3375152587891
2001,2,5,79.5625141143799,79.3625143051147,74.9500143051147
2001,2,6,76.5000143051147,74.2916812896729,71.2708463668823
2001,3,1,62.9875120162964,59.3500116348267,53.7375101089478
2001,3,2,74.875013923645,74.3000141143799,70.9000137329102
2001,3,3,67.0000122070312,65.3875118255615,60.7125106811523
2001,3,4,74.0375127792358,72.4375131607056,65.8000104904175
2001,3,5,78.3000141143799,76.7750141143799,71.6500143051148
2001,3,6,79.5000146230062,78.1875146230062,67.6666809717814
2001,4,1,88.1125152587891,87.6375152587891,84.4375152587891
2001,4,2,87.9625152587891,87.3750152587891,80.0125150680542
2001,4,3,74.0875143051148,71.2375143051147,58.9750112533569
2001,4,4,84.2000146865845,83.8250146865845,77.0250143051148
2001,4,5,90.2125152587891,89.8125152587891,87.1625152587891
2001,4,6,91.5125152587891,90.8000152587891,88.6500152587891
2001,5,1,89.0375152587891,88.4500152587891,81.4375152587891
2001,5,2,83.8000150680542,81.4500150680542,74.062513923645
2001,5,3,70.175013923645,66.5000135421753,58.5000152587891
2001,5,4,66.2625120162964,64.6875118255615,56.0750091552734
2001,5,5,74.2000133514404,73.3000133514404,61.7375093460083
2001,5,6,81.3854314486186,80.2500146230062,73.8958468437195
2001,6,1,85.0875152587891,84.6250152587891,78.4625152587891
2001,6,2,92.7625152587891,92.3000152587891,87.2000152587891
2001,6,3,86.1750152587891,85.4750152587891,65.9250122070312
2001,6,4,91.6750152587891,91.3875152587891,82.9500152587891
2001,6,5,87.2000152587891,86.6125152587891,80.3625152587891
2001,6,6,90.1125152587891,89.6375152587891,80.8375152587891
2001,7,1,89.8500152587891,89.1750152587891,69.9375152587891
2001,7,2,88.1875152587891,87.6375152587891,75.8375152587891
2001,7,3,88.5875152587891,88.1750152587891,69.2125152587891
2001,7,4,80.6625146865845,80.1000146865845,65.5375150680542
2001,7,5,87.7125152587891,86.7375152587891,63.3250152587891
2001,7,6,90.0416819254557,89.3437652587891,72.2187652587891
2001,8,1,86.4750152587891,84.7250152587891,65.5125146865845
2001,8,2,92.3625152587891,91.2875152587891,74.8250152587891
2001,8,3,93.8250152587891,92.9500152587891,80.2875148773193
2001,8,4,87.6250152587891,86.4125152587891,68.4125152587891
2001,8,5,84.5875152587891,83.6125152587891,74.5500152587891
2001,8,6,85.1562652587891,84.4375152587891,79.3437652587891
2001,9,1,79.8750152587891,78.8375152587891,75.6500152587891
2001,9,2,78.8250152587891,76.2875152587891,73.5375152587891
2001,9,3,79.9625152587891,77.6875152587891,72.8125152587891
2001,9,4,82.2875152587891,81.0375152587891,74.4875152587891
2001,9,5,84.0125152587891,83.2500152587891,83.4125152587891
2001,9,6,71.0000152587891,67.4375150680542,62.9250152587891
2001,10,1,79.2875148773193,77.1000148773193,72.9125152587891
2001,10,2,89.7000152587891,87.5750152587891,76.5000133514404
2001,10,3,93.3750152587891,92.7875152587891,92.9500152587891
2001,10,4,92.3500152587891,91.5875152587891,92.7250152587891
2001,10,5,93.9625152587891,93.3375152587891,85.8625152587891
2001,10,6,89.0416819254557,87.0520985921224,79.8541819254557
2001,11,1,94.0125152587891,93.7750152587891,89.9875150680542
2001,11,2,79.4250152587891,76.0875152587891,62.8375133514404
2001,11,3,69.8500137329102,64.8750135421753,53.3000116348267
2001,11,4,74.3250146865845,70.5750144958496,65.8375150680542
2001,11,5,72.8625146865845,69.1375146865845,61.8000143051147
2001,11,6,82.2375152587891,81.1000152587891,79.7625152587891
2001,12,1,95.6625152587891,95.5875152587891,92.7250152587891
2001,12,2,95.1500152587891,95.3250152587891,90.4000152587891
2001,12,3,91.2875152587891,90.5750152587891,81.5250146865845
2001,12,4,88.3375152587891,86.2875152587891,87.2375152587891
2001,12,5,74.1375144958496,70.1250144958496,52.5500095367432
2001,12,6,73.2395973205566,70.1145973205566,60.6979287465413
2002,1,1,63.7875133514404,60.9875133514404,59.5500131607056
2002,1,2,64.6000127792358,61.462512588501,57.2875108718872
2002,1,3,83.2750150680542,82.2875150680542,75.8875148773193
2002,1,4,86.4125150680542,85.7000150680542,80.6000146865845
