year,month,hou,1000hPa_rhum,925hPa_rhum,850hPa_rhum
2000,1,1,81.1125152587891,68.8750150680542,64.6500135421753
2000,1,2,95.5500152587891,93.9125152587891,85.5250152587891
2000,1,3,94.3750152587891,94.0125152587891,90.5125152587891
2000,1,4,86.4250148773193,75.6125131607056,55.475009727478
2000,1,5,92.1500152587891,86.8125150680542,78.2125135421753
2000,1,6,75.7708481152852,60.2604285875956,40.9270895322164
2000,2,1,87.3875152587891,83.7250152587891,83.9125152587891
2000,2,2,78.0000150680542,66.6625131607056,48.1250074386597
2000,2,3,89.4375152587891,83.0500148773193,73.0750131607056
2000,2,4,94.4750152587891,89.5875150680542,82.5000143051147
2000,2,5,90.7750152587891,86.1000150680542,78.9250143051147
2000,2,6,82.0468897819519,70.1406378746033,55.7812597751617
2000,3,1,92.0750152587891,88.8250150680542,80.5250148773193
2000,3,2,90.6500152587891,80.6750143051147,73.2000133514404
2000,3,3,96.1375152587891,95.2125152587891,90.5750152587891
2000,3,4,86.4875152587891,75.9750143051147,54.4250091552734
2000,3,5,87.3500150680542,79.575013923645,67.7875110626221
2000,3,6,74.0416809717814,51.166675567627,37.9270865122477
2000,4,1,94.7875152587891,93.4000152587891,85.6500148773193
2000,4,2,88.2000152587891,79.8250144958496,65.1750114440918
2000,4,3,87.9375152587891,82.4250148773193,68.7375120162964
2000,4,4,85.1625152587891,74.8500152587891,65.1375110626221
2000,4,5,85.9750148773193,71.6500129699707,62.1875099182129
2000,4,6,85.0625152587891,75.4125133514404,62.1250099182129
2000,5,1,80.4125152587891,53.2500087738037,37.9500034332275
2000,5,2,89.6000152587891,83.4500152587891,64.1375129699707
2000,5,3,84.2750152587891,57.8500135421753,46.8375080108643
2000,5,4,85.7375148773193,70.7375137329102,47.9875078201294
2000,5,5,81.0375150680542,67.9125120162964,57.5250101089478
2000,5,6,94.8229319254557,90.0208485921224,83.5104319254557
2000,6,1,92.9750152587891,80.4000152587891,73.0125152587891
2000,6,2,96.7500152587891,90.1250152587891,82.7625152587891
2000,6,3,82.7125150680542,70.0625144958496,57.8625104904175
2000,6,4,93.8875152587891,87.5500152587891,78.4750150680542
2000,6,5,92.5500152587891,78.7875152587891,73.8625152587891
2000,6,6,88.9000152587891,70.0875152587891,61.0750152587891
2000,7,1,93.5750152587891,80.4250152587891,68.0875152587891
2000,7,2,89.9250152587891,82.7125152587891,66.8750150680542
2000,7,3,88.7125152587891,70.1250152587891,55.8750141143799
2000,7,4,90.0625152587891,82.9750152587891,72.2875152587891
2000,7,5,89.8625152587891,70.7000152587891,63.6500152587891
2000,7,6,92.7291819254557,77.4375152587891,65.7604312896729
2000,8,1,92.5375152587891,79.4750152587891,70.7750152587891
2000,8,2,93.2500152587891,75.6000152587891,70.1250152587891
2000,8,3,96.1750152587891,84.9875152587891,83.5125152587891
2000,8,4,96.3375152587891,83.8125152587891,80.4375152587891
2000,8,5,94.6125152587891,89.2750152587891,84.5250152587891
2000,8,6,95.6562652587891,90.0000152587891,86.8750152587891
2000,9,1,94.0250152587891,81.5375152587891,74.3250152587891
2000,9,2,90.3500152587891,88.4875152587891,78.9500152587891
2000,9,3,79.4250152587891,78.0000150680542,74.9625150680542
2000,9,4,70.987513923645,55.0625101089478,53.7375110626221
2000,9,5,91.7250152587891,74.3000152587891,68.2125152587891
2000,9,6,96.4750152587891,84.5875152587891,81.2375152587891
2000,10,1,95.7875152587891,91.0750152587891,87.1500152587891
2000,10,2,92.4875152587891,81.7000152587891,71.6750144958496
2000,10,3,91.0750152587891,90.4625152587891,81.9625150680542
2000,10,4,91.8375152587891,92.2000152587891,90.1875152587891
2000,10,5,97.0125152587891,96.7500152587891,92.9875152587891
2000,10,6,86.4791819254557,84.2916819254557,72.937514146169
2000,11,1,79.8625152587891,71.8000152587891,45.6375068664551
2000,11,2,94.5000152587891,93.0375152587891,90.4750152587891
2000,11,3,96.0875152587891,94.3500152587891,90.8250150680542
2000,11,4,92.4500152587891,88.7375150680542,76.0500129699707
2000,11,5,86.0250152587891,75.9000150680542,50.5750076293945
2000,11,6,92.7875152587891,91.9875152587891,85.8375152587891
2000,12,1,87.5375152587891,82.5250152587891,67.7250110626221
2000,12,2,85.2375152587891,76.3125152587891,72.5750150680542
2000,12,3,86.0250152587891,82.6125150680542,70.312512588501
2000,12,4,93.7250152587891,92.5250152587891,86.1750152587891
2000,12,5,80.0250150680542,58.0250110626221,27.1625020980835
2000,12,6,86.8541819254557,82.9062652587891,71.4687635103862
