year,month,hou,1000hPa_air,850hPa_air,1000hPa_rhum,850hPa_rhum,1000hPa_wind,850hPa_wind,1000hPa_azimuth,850hPa_azimuth,1000hPa_number,850hPa_number,850hPa_omega
2021,1,1,4.8635208129883,-0.83254699707029,78.5326669692993,81.2534729003906,4.05857437242151,2.26647765181496,51.1037115398459,185.140966239803,3,7,0.00164343035303953
2021,1,2,3.89131622314455,-0.0753189086913835,73.4718969345093,87.6184394836426,3.10924637245467,5.07917715769647,119.89016989066,256.726319902142,5,10,-0.00917532445196302
2021,1,3,7.69832763671877,3.69203186035159,86.4731767654419,72.6977798461914,4.02264339774609,7.78320266674268,110.173162693293,199.575880719484,5,8,0.00873074779998537
2021,1,4,1.49419860839846,-1.17434234619138,81.6945413589478,79.7808170318604,5.89505110930352,6.16942491747014,104.666981653339,154.988932871711,4,6,-0.0659615933754311
2021,1,5,2.85262756347659,-1.52108917236326,66.4510627746582,51.4200999736786,3.23860083084291,6.43511594490546,218.28019317985,291.606697720225,8,11,0.0330864974788291
2021,1,6,6.68475112915041,0.149613952636741,60.6955016454061,51.761129061381,3.07913254131252,6.36893258667182,119.236306933199,307.865340066168,5,11,0.038860903815728
2021,2,1,6.78664245605471,0.913081359863304,41.6174192428589,25.420246553421,3.95221110919616,7.36565604142493,181.247457906883,294.117757731932,7,11,0.0556277663118455
2021,2,2,5.3759948730469,-3.25431823730466,35.2647857666016,34.2803035736084,4.8969793976641,10.327379279318,316.283024364988,334.804580071164,12,12,0.0622471727736532
2021,2,3,10.9941329956055,4.75820159912112,45.6613368034363,34.1837884902954,3.42428768636901,5.63946125594042,146.519183827814,220.427696942903,6,8,0.017094706698654
2021,2,4,11.6942123413086,7.78202819824221,79.5228088378906,70.1524301528931,4.22604380251954,6.87385467044248,139.789059511567,160.848855205984,6,6,-0.0484647415578981
2021,2,5,6.8855667114258,-2.36636810302732,46.1295627593994,46.2856157302856,3.66638714900843,7.41463645059342,259.383887923596,260.808103749147,10,10,0.033862390797259
2021,2,6,8.11186625162763,-1.82929077148435,36.6272974014282,41.9375737508138,2.99673423564909,5.31936038616539,253.394278975324,278.010288691728,9,10,0.058998124498846
2021,3,1,15.2921127319336,7.76210174560549,46.2227355003357,45.4236231803894,3.80966129229019,9.714153658235,210.86029779298,257.565493470622,8,10,-0.00982701828741203
2021,3,2,14.7997756958008,8.33705291748049,65.5787763595581,61.9326440811157,3.46883548123756,6.69427251282033,131.425623549902,203.863059269526,5,8,-0.0516384078097994
2021,3,3,9.07794494628908,1.15535278320315,53.0981023788452,49.7401275634766,3.79593156692139,9.39245485163354,299.177112919631,330.444814848528,11,12,0.0791273402527825
2021,3,4,16.1180099487305,10.165446472168,61.8326656341553,70.8792108535767,4.38871786234335,9.11748419843502,115.418012836341,235.627052323327,5,9,-0.0355322545078917
2021,3,5,12.9694107055664,6.59792175292971,73.5315727233887,80.2972820281982,2.92719865519326,6.07033056003794,199.181243668157,285.391636399429,8,11,-0.0574369357913373
2021,3,6,12.2503245035808,5.45912958780927,75.9509836832682,76.4709420204163,4.87342728218399,9.38439275922612,76.2315294532768,130.270485858878,4,5,-0.0726869096316491
2021,4,1,17.1702682495117,10.3641860961914,75.6284173965454,71.1201890945435,3.46113021177734,8.21453915237203,170.145220884972,278.02602700278,7,10,-0.0264762172590721
2021,4,2,13.0365844726563,3.81098327636721,42.4485327720642,35.2701856613159,2.46888437444749,4.63604329039053,113.374169720213,223.151804570268,5,8,0.0569937660531319
2021,4,3,18.530648803711,11.4332595825196,75.8452013015747,68.2941328048706,4.09338540867297,9.77893057037472,124.173748169572,156.648978000502,5,6,-0.0474793511070485
2021,4,4,19.6180694580078,13.0886123657227,84.3277549743652,85.9818469047546,4.21526265879678,8.41241406353373,169.661440807468,221.569703787093,7,8,-0.1097358289948
2021,4,5,18.775765991211,9.35477600097659,58.2212797164917,56.8143486022949,3.89590222661359,6.62248549221545,110.007486143151,123.9226680581,5,5,0.0307725638169157
2021,4,6,22.8053344726563,14.4839416503906,72.4914323806763,82.9374822616577,3.30756387778736,6.50339137664818,163.110671742309,225.387660568235,6,9,-0.0321662187913088
2021,5,1,23.2730865478516,15.6600769042969,68.8571273803711,65.5344248771667,3.47552085292915,5.9553676718192,126.162713887544,171.85113119442,5,7,-0.0359873849352725
2021,5,2,19.7446975708008,10.6294128417969,53.6291589736938,55.992924118042,3.28880793193898,7.6137334900244,243.169692001413,268.882298236216,9,10,0.0153815194982507
