year,month,hou,1000hPa_air,850hPa_air,1000hPa_rhum,850hPa_rhum,1000hPa_wind,850hPa_wind,1000hPa_azimuth,850hPa_azimuth,1000hPa_number,850hPa_number,850hPa_omega
2021,1,1,5.96538848876955,-1.86755523681638,75.9584941864014,86.7851657867432,5.34558437098898,2.77031542815222,35.2815871576581,254.52424302002,2,9,0.0205192222993466
2021,1,2,5.0967971801758,-0.359265136718727,69.8876192092896,84.1017974853516,4.08159359245393,6.44630693408159,106.180520868058,261.255085201702,5,10,0.0014134302224057
2021,1,3,9.30346527099612,3.6882263183594,87.0294513702393,72.9314002037048,6.44187923426891,7.82279701581271,170.531678971087,252.769171188499,7,9,-0.00813134052045595
2021,1,4,4.6124710083008,-0.874943542480446,81.1812889099121,88.8854312896729,7.71529170416322,6.33975306254612,99.2371787811928,136.632659349869,4,6,-0.0522232260798328
2021,1,5,4.99139404296877,-0.534460449218727,67.0097639083862,50.2070627212524,5.12982409475071,7.5525694269567,284.193606887648,284.503726551997,10,10,0.0251443198000764
2021,1,6,7.58865254720054,0.379438018798851,62.3464021682739,54.3996857007345,4.75079615197533,7.37834577710411,263.029823613169,299.207039131306,10,11,0.0419009321734086
2021,2,1,6.80650634765627,0.716490173339867,49.0332987785339,25.5800112009048,5.80164196536996,8.06705932476421,209.745440666819,291.641570091389,8,11,0.0714448675394709
2021,2,2,5.00666198730471,-3.39176330566404,40.2865822792053,33.9251123428345,6.79569072537975,11.1339932119465,322.177051224209,330.082000082007,12,12,0.0907708196837853
2021,2,3,11.5416610717774,4.21643981933596,46.9396739006042,32.3036301612854,4.36044667020631,5.32845522081565,171.371535478143,235.828583990166,7,9,0.0131287823792852
2021,2,4,12.1564910888672,7.8235778808594,82.2769927978516,65.580114364624,5.3728970780894,7.08901001407315,127.040606948558,138.175429129751,5,6,-0.0622385755757799
2021,2,5,7.29796142578127,-2.18253479003904,52.3494157791138,46.9006537437439,5.20731957773222,7.85775893524629,266.143255502965,325.824812765011,10,12,0.0391541926140261
2021,2,6,8.3040481567383,-2.52076314290362,38.1958745320638,45.2901579538981,3.84676016749428,6.27620377678366,254.466895279174,280.821626501424,9,10,0.0638696617300704
2021,3,1,15.5423400878906,6.99603729248049,44.3202178955078,42.0230746269226,5.16825939749401,9.58226643947817,213.330484889036,259.57759067923,8,10,0.0109361984018282
2021,3,2,13.8081863403321,8.26675872802737,71.1910764694214,53.3063136100769,4.41444342292566,6.39214666671455,146.367408643576,250.803445094569,6,9,-0.0618280329078344
2021,3,3,8.83680725097659,0.775067138671898,57.5123985290527,51.0162309646606,6.33417031784629,11.603774434801,319.107383470925,325.93868192284,12,12,0.0825457183044923
2021,3,4,15.569792175293,9.74009552001955,63.6036321640015,62.201956653595,5.69531092600123,8.1793329684247,172.418140459895,249.154401406164,7,9,0.000722632384288292
2021,3,5,13.5381713867188,6.94929656982424,75.2886661529541,77.6089985847473,3.79524888296441,7.20648858684488,203.215714178504,276.401654282646,8,10,-0.0702800090393298
2021,3,6,12.5480946858724,5.52203648885093,75.7178454399109,67.8780589103699,7.67980742319441,9.16304311429951,80.9509409422877,117.97550514346,4,5,-0.0994734498447716
2021,4,1,17.1838638305664,11.1350830078125,79.6832592010498,65.2802658557892,4.5554082790714,8.11983523601029,175.459651851886,272.878722368423,7,10,-0.0145491300290296
2021,4,2,12.1731735229492,3.45173339843752,47.1524359703064,32.114235162735,3.45522040763328,5.56283499965813,242.808685909466,319.575957236972,9,12,0.0625141671230387
2021,4,3,17.3644256591797,10.8359420776367,77.8542573928833,63.375569152832,5.77798083553443,9.29926910680377,117.041510956911,214.229513987407,5,8,-0.0263106077804499
2021,4,4,18.9671432495117,12.4937469482422,85.3389965057373,78.2208488464355,6.40846522976589,7.95946369481366,142.072769350034,192.373037161429,6,7,-0.132431821744579
2021,4,5,17.7432815551758,9.1039489746094,63.391930770874,50.7418591737747,5.39239022101642,7.11416126358464,166.772043807315,175.553141132191,7,7,0.028586667300378
2021,4,6,21.4573791503906,13.3222839355469,70.8574979782104,78.9045063972473,5.78502287618643,5.56431095421353,168.991050257575,223.090048215086,7,8,0.00171102760169167
2021,5,1,21.9758728027344,15.3636337280274,70.8024097442627,54.5655259132385,4.46356181393626,5.54018026943168,111.317184629232,193.529914186631,5,7,-0.018310599431572
2021,5,2,18.8567016601563,9.57073822021487,55.8178691864014,54.3493618965149,5.213285776462,8.60177688101475,234.923027187736,273.966899737674,9,10,0.0346599403273075
2021,5,3,21.9389785766602,13.6303833007813,68.7289289474487,58.9973120689392,3.89685539501015,3.05932726955337,157.374060038038,236.418059519324,6,9,0.00396231979027031
2021,5,4,23.6156005859375,14.5028076171875,74.9150325775147,76.1651774406433,7.04721885465007,9.0728144060555,147.241084542917,178.245006649836,6,7,-0.0112653874693137
2021,5,5,25.2513061523438,17.2862777709961,83.7244937896728,89.9016757965088,4.23560075471276,7.42240610519843,224.011843305333,248.073637712936,8,9,-0.0811287186209167
