year,month,hou,1000hPa_rhum,925hPa_rhum,850hPa_rhum
2000,1,1,74.3500146865845,65.7125144958496,67.3625135421753
2000,1,2,84.2625152587891,83.6125152587891,82.5250152587891
2000,1,3,88.7375152587891,89.3250152587891,90.6125152587891
2000,1,4,75.0250146865845,75.0250143051148,72.5625141143799
2000,1,5,90.1000152587891,90.1125152587891,88.1500152587891
2000,1,6,63.4583466847738,61.6666798591614,65.0000131924947
2000,2,1,81.0875152587891,80.3125152587891,84.2875152587891
2000,2,2,72.3500141143799,68.7375143051147,72.0875146865845
2000,2,3,81.8000152587891,80.5500152587891,82.0875152587891
2000,2,4,91.3000152587891,92.1875152587891,91.5250152587891
2000,2,5,96.5500152587891,96.3000152587891,92.0125152587891
2000,2,6,90.1093902587891,84.7343902587891,75.2500131130219
2000,3,1,96.7000152587891,93.5125152587891,82.6750152587891
2000,3,2,92.4750152587891,92.0000152587891,87.7125152587891
2000,3,3,96.4000152587891,94.0500152587891,91.0750152587891
2000,3,4,95.5250152587891,95.0625152587891,93.1375152587891
2000,3,5,87.3625152587891,84.0750152587891,84.9375152587891
2000,3,6,73.5208474795024,66.2187627156575,51.9270904858907
2000,4,1,96.3375152587891,91.3250152587891,88.0375152587891
2000,4,2,96.5750152587891,95.3500152587891,93.6875152587891
2000,4,3,94.5750152587891,89.4250152587891,80.7500135421753
2000,4,4,85.1875152587891,78.1750150680542,71.5125110626221
2000,4,5,96.1375152587891,90.5125152587891,88.2250152587891
2000,4,6,97.4375152587891,92.0500152587891,89.1000152587891
2000,5,1,94.5375152587891,89.1875152587891,83.1750152587891
2000,5,2,92.9625152587891,82.3250152587891,72.0250143051148
2000,5,3,86.6250152587891,74.0000152587891,56.0625110626221
2000,5,4,91.5000152587891,82.6000152587891,72.4000133514404
2000,5,5,87.9000152587891,81.7875150680542,75.1750146865845
2000,5,6,95.1354319254557,80.5729319254557,76.1666819254557
2000,6,1,90.1000152587891,71.3250152587891,61.3375152587891
2000,6,2,92.4875152587891,81.4875152587891,71.2250152587891
2000,6,3,89.5375152587891,84.0625152587891,77.0625150680542
2000,6,4,93.5125152587891,86.8500152587891,81.7750152587891
2000,6,5,91.6000152587891,83.4750152587891,72.1000152587891
2000,6,6,89.6000152587891,72.4500152587891,62.2250152587891
2000,7,1,90.2500152587891,76.6000152587891,68.1000152587891
2000,7,2,92.3875152587891,81.5875152587891,72.9750152587891
2000,7,3,90.8125152587891,82.4000152587891,69.7625152587891
2000,7,4,94.8125152587891,91.5125152587891,82.6500152587891
2000,7,5,92.0500152587891,74.8875152587891,67.1875152587891
2000,7,6,92.1354319254557,75.4166819254557,64.8645985921224
2000,8,1,95.4125152587891,84.5875152587891,78.9375152587891
2000,8,2,91.3750152587891,73.9250152587891,72.2625152587891
2000,8,3,93.8500152587891,78.4000152587891,72.5250152587891
2000,8,4,91.8750152587891,75.0625152587891,66.6625152587891
2000,8,5,91.6750152587891,83.2125152587891,78.8750152587891
2000,8,6,93.0416819254557,85.8541819254557,82.4375152587891
2000,9,1,94.0750152587891,80.6625152587891,78.9750152587891
2000,9,2,92.3875152587891,88.0625152587891,81.2625152587891
2000,9,3,78.4375152587891,71.6750150680542,64.2875137329102
2000,9,4,80.9250152587891,73.0125152587891,72.6500152587891
2000,9,5,92.8875152587891,75.9000152587891,72.2750152587891
2000,9,6,92.3375152587891,74.3125152587891,66.4625152587891
2000,10,1,94.4000152587891,80.5125152587891,75.9125152587891
2000,10,2,92.4500152587891,78.4500152587891,72.5625152587891
2000,10,3,92.3250152587891,93.7500152587891,87.3500152587891
2000,10,4,89.3375152587891,91.0500152587891,88.1500152587891
2000,10,5,95.8875152587891,86.9500152587891,86.8250152587891
2000,10,6,80.2812650998433,79.1250147819519,72.8020971616109
2000,11,1,69.9250146865845,61.2250137329102,50.3000076293945
2000,11,2,92.5375152587891,92.4500152587891,89.8750152587891
2000,11,3,86.3375152587891,88.0125152587891,80.4750152587891
2000,11,4,79.2750150680542,84.0375152587891,81.9125135421753
2000,11,5,75.3250148773193,65.775013923645,54.7625104904175
2000,11,6,83.8250152587891,79.7500152587891,81.0500152587891
2000,12,1,76.6250152587891,74.5000152587891,73.2000143051147
2000,12,2,71.8250152587891,57.9500141143799,58.2250144958496
2000,12,3,87.4250152587891,88.1875152587891,75.1500146865845
2000,12,4,83.9000152587891,79.6125152587891,82.3500152587891
2000,12,5,68.4250133514404,56.0375099182129,40.3250062942505
2000,12,6,72.2708481152852,65.6354312896729,61.7916804949443
2001,1,1,79.9875152587891,77.8875152587891,77.1250144958496
2001,1,2,74.1125150680542,73.0750152587891,76.5125152587891
2001,1,3,77.0750148773193,76.8375150680542,74.150013923645
2001,1,4,77.2375146865845,72.8625148773193,73.9125152587891
2001,1,5,90.3625152587891,85.0875152587891,85.7125152587891
2001,1,6,85.2395985921224,78.0625152587891,77.6041809717814
