year,month,hou,air2m
2002,12,5,-0.619502249
2002,12,6,-5.142917351
2003,1,1,-4.9429992
2003,1,2,-1.837002607
2003,1,3,3.265498303
2003,1,4,4.437997435
2003,1,5,4.476997346
2003,1,6,0.337501727
2003,2,1,1.496997033
2003,2,2,5.944999801
2003,2,3,-0.937498497
2003,2,4,7.939497495
2003,2,5,7.444000399
2003,2,6,5.437491347
2003,3,1,4.6619996
2003,3,2,6.044494669
2003,3,3,8.224992609
2003,3,4,6.881494164
2003,3,5,11.75299251
2003,3,6,16.92124748
2003,4,1,11.58749733
2003,4,2,15.22049599
2003,4,3,16.47149086
2003,4,4,16.16349521
2003,4,5,14.90700111
2003,4,6,20.1844944
2003,5,1,21.55599861
2003,5,2,17.26399879
2003,5,3,20.66950111
2003,5,4,20.295998
2003,5,5,21.00449409
2003,5,6,23.83166313
2003,6,1,24.67199593
2003,6,2,24.06249886
2003,6,3,22.82449684
2003,6,4,25.44999886
2003,6,5,25.26849556
2003,6,6,25.22399788
2003,7,1,25.83250008
2003,7,2,24.74800148
2003,7,3,26.03399849
2003,7,4,26.26449471
2003,7,5,27.51099434
2003,7,6,28.51916313
2003,8,1,27.84449043
2003,8,2,27.19749336
2003,8,3,23.03749428
2003,8,4,24.33549843
2003,8,5,26.63299751
2003,8,6,23.54249128
2003,9,1,24.31249886
2003,9,2,22.67749062
2003,9,3,22.96799355
2003,9,4,22.00049171
2003,9,5,20.01649666
2003,9,6,21.71549721
2003,10,1,13.99399757
2003,10,2,19.2699955
2003,10,3,12.04349709
2003,10,4,13.61299934
2003,10,5,12.6159946
2003,10,6,16.90458107
2003,11,1,16.56299629
2003,11,2,7.271496648
2003,11,3,7.230992246
2003,11,4,10.32649565
2003,11,5,7.136998163
2003,11,6,3.78299554
2003,12,1,6.092999268
2003,12,2,0.928991653
2003,12,3,-0.5640015
2003,12,4,-0.821504267
2003,12,5,2.640994266
2003,12,6,1.200411675
2004,1,1,4.394496101
2004,1,2,3.772999498
2004,1,3,1.375993304
2004,1,4,-1.24450533
2004,1,5,-4.8924972
2004,1,6,1.344164743
2004,2,1,0.160493435
2004,2,2,2.469496095
2004,2,3,9.217990303
2004,2,4,12.90099828
2004,2,5,8.65899682
2004,2,6,9.515617192
2004,3,1,5.394491594
2004,3,2,10.43349477
2004,3,3,12.20349457
2004,3,4,8.643994212
2004,3,5,9.420494366
2004,3,6,15.08166313
2004,4,1,12.66749756
2004,4,2,14.34199557
2004,4,3,18.91499367
2004,4,4,21.09249611
2004,4,5,18.82099495
2004,4,6,18.91899147
2004,5,1,16.16399727
2004,5,2,22.15249367
2004,5,3,20.76199379
2004,5,4,21.74449348
2004,5,5,23.86399269
2004,5,6,22.70874214
2004,6,1,20.75999641
2004,6,2,21.13299294
2004,6,3,25.23650093
2004,6,4,23.79799232
2004,6,5,26.12699623
2004,6,6,27.51349831
2004,7,1,27.43199806
2004,7,2,25.2449955
2004,7,3,24.02449379
2004,7,4,25.56299629
2004,7,5,27.35899391
2004,7,6,27.25124168
2004,8,1,25.94699745
2004,8,2,27.23399849
2004,8,3,25.23099861
2004,8,4,23.13100014
2004,8,5,23.51549721
2004,8,6,24.27874565
2004,9,1,24.45450172
2004,9,2,20.8689991
2004,9,3,20.70250282
2004,9,4,22.67450294
2004,9,5,18.11849556
2004,9,6,21.09199715
2004,10,1,13.2999958
2004,10,2,17.98199654
2004,10,3,17.09300117
2004,10,4,15.89149513
2004,10,5,15.26850319
2004,10,6,13.75291502
2004,11,1,13.55399663
2004,11,2,16.98799629
2004,11,3,8.5329988
2004,11,4,8.70900135
2004,11,5,8.357997386
2004,11,6,5.180500856
2004,12,1,8.443000984
2004,12,2,5.800497365
2004,12,3,7.860501218
2004,12,4,4.930499208
2004,12,5,-2.309001208
2004,12,6,-6.727079657
2005,1,1,-5.213999863
2005,1,2,-1.571998636
2005,1,3,-2.208497665
2005,1,4,0.835998498
2005,1,5,0.32599788
2005,1,6,-0.556664577
2005,2,1,0.453500319
2005,2,2,-0.750001548
2005,2,3,1.962000994
2005,2,4,-1.461001609
2005,2,5,5.614503488
2005,2,6,4.144161393
2005,3,1,3.525997959
2005,3,2,13.32350044
2005,3,3,4.052998435
2005,3,4,8.933496284
2005,3,5,8.000496113
2005,3,6,12.07916576
2005,4,1,17.1970005
2005,4,2,17.03399844
2005,4,3,14.66399879
2005,4,4,19.52499886
2005,4,5,20.2749958
2005,4,6,24.14399757
2005,5,1,18.9374958
2005,5,2,20.00099983
2005,5,3,21.8509922
2005,5,4,19.89549751
2005,5,5,21.80049171
2005,5,6,23.68749682
2005,6,1,26.46799355
2005,6,2,24.01499367
2005,6,3,26.40249672
2005,6,4,27.40399361
2005,6,5,28.02999306
2005,6,6,25.96149635
2005,7,1,27.12999306
2005,7,2,26.44649696
2005,7,3,25.77249489
2005,7,4,26.52298927
2005,7,5,26.32649879
2005,7,6,26.82791201
2005,8,1,25.66199684
2005,8,2,25.49199409
2005,8,3,27.02599678
2005,8,4,22.26699409
2005,8,5,21.03099556
2005,8,6,23.90249825
2005,9,1,21.39049263
2005,9,2,21.98899422
2005,9,3,24.4170002
2005,9,4,25.45149422
2005,9,5,18.01699257
2005,9,6,22.49499855
2005,10,1,16.26299477
2005,10,2,16.2604908
2005,10,3,16.443993
2005,10,4,16.5364933
2005,10,5,11.87349734
2005,10,6,12.30458256
2005,11,1,17.69849586
2005,11,2,14.39549446
2005,11,3,11.23748801
2005,11,4,7.16899116
2005,11,5,7.371493602
2005,11,6,7.724496555
2005,12,1,0.765496916
2005,12,2,-0.553501904
2005,12,3,-5.285502614
2005,12,4,-2.482502735
2005,12,5,0.714492749
2005,12,6,4.146244232
2006,1,1,0.142495668
2006,1,2,-2.870501727
2006,1,3,5.158999622
2006,1,4,2.643997179
2006,1,5,-3.956001267
2006,1,6,1.920410406
2006,2,1,-1.342005983
2006,2,2,0.330499247
2006,2,3,9.751993012
2006,2,4,3.696998531
2006,2,5,7.040991306
2006,2,6,0.859994493
2006,3,1,8.961992079
2006,3,2,14.40349159
2006,3,3,5.187992888
2006,3,4,11.81649206
2006,3,5,13.28600044
2006,3,6,14.75041636
2006,4,1,16.66549263
2006,4,2,18.83299904
2006,4,3,10.68049636
2006,4,4,17.01199379
2006,4,5,16.72399025
2006,4,6,20.84999428
2006,5,1,22.69549599
2006,5,2,20.45849953
2006,5,3,15.9479969
2006,5,4,22.66049538
2006,5,5,22.13349495
2006,5,6,21.86332766
2006,6,1,23.02249336
2006,6,2,24.59999733
2006,6,3,26.48200111
2006,6,4,28.91699553
2006,6,5,24.90299416
2006,6,6,26.23349342
2006,7,1,26.88549232
2006,7,2,26.03249245
2006,7,3,27.2249958
2006,7,4,27.33799477
2006,7,5,25.50349922
2006,7,6,26.15665881
2006,8,1,26.06849556
2006,8,2,26.21549263
2006,8,3,27.20449562
2006,8,4,23.81399422
2006,8,5,25.05799294
2006,8,6,26.27749443
2006,9,1,22.34449806
2006,9,2,18.53699074
2006,9,3,18.66149483
2006,9,4,20.44999733
2006,9,5,21.40499763
2006,9,6,19.97799416
2006,10,1,19.18699379
2006,10,2,20.63399239
2006,10,3,21.53848915
2006,10,4,21.23299446
2006,10,5,15.53699379
2006,10,6,14.31874784
2006,11,1,14.21499825
2006,11,2,13.93599277
2006,11,3,9.722992182
2006,11,4,10.42699161
2006,11,5,9.547995257
2006,11,6,5.311997974
2006,12,1,2.36049341
2006,12,2,1.943496697
2006,12,3,3.394991988
2006,12,4,-0.747003203
2006,12,5,2.87849267
2006,12,6,0.809995234
2007,1,1,0.03600004
2007,1,2,-2.692004454
2007,1,3,-0.277005023
2007,1,4,0.142495718
2007,1,5,1.716998234
2007,1,6,1.64749677
2007,2,1,5.628994833
2007,2,2,8.01349498
2007,2,3,8.033995208
2007,2,4,5.87049861
2007,2,5,10.58949618
2007,2,6,11.74249458
2007,3,1,8.574992572
2007,3,2,4.149499503
