year,month,hou,air2m
2013,2,4,1.131997713
2013,2,5,7.368501455
2013,2,6,10.52665643
2013,3,1,6.66199355
2013,3,2,15.31950102
2013,3,3,8.654498482
2013,3,4,12.90499756
2013,3,5,12.32499728
2013,3,6,13.78124678
2013,4,1,15.23550301
2013,4,2,10.58299894
2013,4,3,19.63499489
2013,4,4,13.84349387
2013,4,5,14.10399666
2013,4,6,20.58550148
2013,5,1,21.14350014
2013,5,2,20.20249519
2013,5,3,23.87299538
2013,5,4,21.38949318
2013,5,5,26.05499916
2013,5,6,21.32749748
2013,6,1,24.48199959
2013,6,2,22.08950539
2013,6,3,23.37349892
2013,6,4,26.98549995
2013,6,5,25.77799873
2013,6,6,25.59799843
2013,7,1,27.27649879
2013,7,2,26.75599556
2013,7,3,27.64249763
2013,7,4,26.70150185
2013,7,5,27.38399849
2013,7,6,27.60250282
2013,8,1,27.09149818
2013,8,2,28.33299904
2013,8,3,28.14900551
2013,8,4,26.80099678
2013,8,5,26.09449959
2013,8,6,24.37666766
2013,9,1,20.6499958
2013,9,2,22.20449562
2013,9,3,23.6739994
2013,9,4,24.55199623
2013,9,5,21.05700111
2013,9,6,17.62399788
2013,10,1,18.20149879
2013,10,2,20.04949226
2013,10,3,18.60300026
2013,10,4,13.80049477
2013,10,5,12.4639957
2013,10,6,14.42792066
2013,11,1,12.57399788
2013,11,2,13.15899997
2013,11,3,8.481994843
2013,11,4,5.844497691
2013,11,5,7.937497103
2013,11,6,2.009501664
2013,12,1,6.116500884
2013,12,2,3.723497039
2013,12,3,2.491996764
2013,12,4,-0.567997805
2013,12,5,-2.517498833
2013,12,6,-2.641667458
2014,1,1,3.261999457
2014,1,2,2.613998367
2014,1,3,0.465997314
2014,1,4,2.35599971
2014,1,5,4.363998467
2014,1,6,9.672913035
2014,2,1,6.476999037
2014,2,2,-5.280001742
2014,2,3,-5.245997602
2014,2,4,0.653498809
2014,2,5,8.774002314
2014,2,6,8.901658853
2014,3,1,6.621498156
2014,3,2,6.446499681
2014,3,3,10.3109942
2014,3,4,13.61799498
2014,3,5,13.85899849
2014,3,6,17.6354173
2014,4,1,14.87749977
2014,4,2,17.84949684
2014,4,3,16.44999733
2014,4,4,16.61099281
2014,4,5,16.88299599
2014,4,6,17.820998
2014,5,1,17.95800362
2014,5,2,21.2469944
2014,5,3,19.60400581
2014,5,4,22.02399635
2014,5,5,23.80399971
2014,5,6,25.14166705
2014,6,1,23.18649788
2014,6,2,26.93200264
2014,6,3,25.74949989
2014,6,4,25.41849403
2014,6,5,24.69999886
2014,6,6,25.91699867
2014,7,1,24.5979969
2014,7,2,26.85899696
2014,7,3,26.14850044
2014,7,4,27.0825016
2014,7,5,26.86549416
2014,7,6,25.80083148
2014,8,1,27.05249825
2014,8,2,23.94749794
2014,8,3,23.87000313
2014,8,4,22.92650032
2014,8,5,24.96299629
2014,8,6,23.72708193
2014,9,1,22.23699684
2014,9,2,24.83299599
2014,9,3,21.3179966
2014,9,4,20.10399666
2014,9,5,21.34599648
2014,9,6,21.31049843
2014,10,1,19.13949623
2014,10,2,17.17949562
2014,10,3,15.47849617
