year,month,hou,1000hPa_wind,925hPa_wind,850hPa_wind,1000hPa_azimuth,925hPa_azimuth,850hPa_azimuth,1000hPa_number,925hPa_number,850hPa_number
2000,1,1,2.23275290672698,2.99109691579379,5.37652659024337,174.319987346838,119.132992688143,159.074189723197,7,5,6
2000,1,2,3.06195947099175,3.68114593202996,5.69119087383867,66.1115138602076,86.7888494925879,170.832243858363,3,4,7
2000,1,3,4.27723508885141,5.34873864465116,4.16268240746503,56.6088455237933,64.568612739498,128.991798178975,3,3,5
2000,1,4,3.67255915488565,5.22519563685543,6.32640152081529,52.9032275581882,63.619710919182,87.821866469615,3,3,4
2000,1,5,4.09227146464234,4.95602268582728,6.1516147943863,56.6045171365531,74.1014352239009,135.342683573164,3,3,6
2000,1,6,3.50355388127075,5.05548295035228,5.19267976470549,54.1341608736878,60.4867846515964,88.0677867593504,3,3,4
2000,2,1,3.25316790473312,3.91137979727031,2.97167777597194,61.2079138461869,71.3361776061626,130.190984727971,3,3,5
2000,2,2,2.42055183057662,3.12889946731977,4.18549146932985,66.5449619969069,76.5038521988789,120.747138850285,3,4,5
2000,2,3,3.2508070398753,4.20690775643659,5.15063236352604,61.8026927543751,77.0160297775138,122.078507826579,3,4,5
2000,2,4,3.64821553113892,4.40477876370678,5.52678397660212,77.6234149682257,89.8262792761214,148.228279679352,4,4,6
2000,2,5,4.2188189102965,5.84792636519215,6.37883179330437,46.0530751719371,53.7804791234559,85.4182207806766,3,3,4
2000,2,6,1.57242552777237,2.64200902107689,4.02357626698264,86.336206785597,87.3611417489063,96.0309120766674,4,4,4
2000,3,1,2.50931374839223,2.98346939230175,3.19623616863746,76.5389655234693,88.277492561883,151.680614270934,4,4,6
2000,3,2,4.25136167228497,5.56492593750944,5.69097330539038,54.1755597680071,64.8941859893099,113.865303643088,3,3,5
2000,3,3,2.97627731783625,3.78178015072845,3.51124965187283,65.7481041810194,71.8761547664867,119.712896629251,3,3,5
2000,3,4,2.84361488195896,3.59603629185787,5.51831556443168,76.2515988986996,89.0760585333132,134.547671644886,4,4,5
2000,3,5,3.28486517443148,4.0921278803809,4.53944746848535,102.001356057582,43.0160914457421,85.6535277711492,4,2,4
2000,3,6,2.82422800125731,3.81456779592364,6.25716461878899,181.035129990559,192.741695787148,222.638638340091,7,7,8
2000,4,1,3.25789328095302,4.40733159705627,5.4272117288268,101.815270762045,39.9212242962196,70.4523984020786,4,2,3
2000,4,2,2.41874462608159,3.02239396233262,4.04006912299948,59.2831225357705,71.2557816593165,120.614351259321,3,3,5
2000,4,3,1.74366207591973,2.02646454738508,4.67948411175021,96.7025326707805,129.661533116047,145.216761206433,4,5,6
2000,4,4,3.02194058001584,3.82372669411045,6.34447484442341,123.754161918326,136.101118057176,169.012724043958,5,6,7
2000,4,5,2.37852610424006,3.0521599777628,4.40644484256478,72.0823802152537,85.7935067438985,132.957657098625,3,4,5
2000,4,6,2.20720062584167,2.89410711738366,4.35926276992751,129.424385320626,70.2284496113303,110.517137517211,5,3,5
2000,5,1,1.55704750607742,1.96208265771646,2.31185764646231,193.504556643555,212.257639396365,164.078710575032,7,8,6
2000,5,2,2.53410468813949,3.06682034416305,5.06908569820378,99.1697901212875,107.201731864685,135.759841482686,4,5,6
2000,5,3,2.88956840656862,3.55067973952246,6.10672604045874,181.672197959098,192.128178555541,210.65861777368,7,7,8
2000,5,4,2.47607549348738,2.85615651550817,3.26143221575167,140.527730900495,152.492770318824,124.360712459826,6,6,5
2000,5,5,2.69820174893641,3.38682895546139,5.74976730759521,149.926666673682,172.690076058859,202.343107320019,6,7,8
2000,5,6,2.66550210090935,3.1973249120952,5.07076809734415,97.8463824205476,110.53186038299,149.302218745681,4,5,6
2000,6,1,3.76452568256382,4.42396210287772,8.24706807560754,138.852378896996,151.307267291423,193.553328516586,6,6,7
2000,6,2,2.83087330205583,2.99718364247121,3.72404558400395,61.6711090452229,67.9079729917056,185.896111338127,3,3,7
2000,6,3,2.27990344836637,2.93090300528038,3.90709779455487,166.649224385141,181.933690979583,143.394194527646,7,7,6
2000,6,4,1.9192037869093,2.35978577272996,3.72317664928198,105.220406288302,113.720955828652,157.917785612644,5,5,6
2000,6,5,4.13393184482261,5.15447114719748,9.50696544901854,152.280519780528,164.564631345144,196.748506624934,6,6,8
2000,6,6,2.6542090293181,3.55663058222714,7.00890724006166,190.689304409881,203.864505008035,224.294614285069,7,8,8
2000,7,1,2.50030589932042,2.63459263618194,5.0165232990757,134.980055532012,153.261366639534,176.927639294145,5,6,7
2000,7,2,2.12587163332633,2.27760335662258,2.75173662970762,40.0520263734198,54.1401234483759,86.0411253346728,2,3,4
2000,7,3,3.52042433421341,4.30805940550893,8.91272622746028,169.284856367722,178.1466176394,196.622889415198,7,7,8
2000,7,4,2.35715464306893,2.7032579032328,3.49802830434054,128.702674024696,142.587669393272,163.139836666226,5,6,6
2000,7,5,2.98798817805464,3.95070954910157,6.50098401767877,195.040497397724,207.810859466158,229.971409773996,8,8,9
2000,7,6,1.71628217647068,2.20336975565539,3.4039536177424,258.469703582296,257.661817768318,223.260979448428,10,10,8
2000,8,1,2.67258555430172,2.83961267076595,3.83153646732364,78.9840687929192,87.7992964012712,123.930287030767,4,4,5
2000,8,2,1.35022361071485,1.81935132807947,3.1811755890048,169.989409430359,184.501165854438,202.537801429324,7,7,8
2000,8,3,0.632434713348679,0.715124796750253,0.888991207710306,129.019408528925,186.600489344734,224.414402351191,5,7,8
