year,month,hou,1000hPa_rhum,925hPa_rhum,850hPa_rhum
2000,1,1,80.1250152587891,70.2500150680542,65.7250148773193
2000,1,2,92.4750152587891,89.4875152587891,84.5500152587891
2000,1,3,92.2500152587891,94.1125152587891,91.6875152587891
2000,1,4,86.8375152587891,86.0625150680542,72.8375127792358
2000,1,5,92.1625152587891,90.8500152587891,83.2625148773193
2000,1,6,77.6354314486186,73.9479309717814,60.3750111262004
2000,2,1,90.5500152587891,91.9500152587891,86.6750152587891
2000,2,2,81.8125152587891,77.9875148773193,65.5375127792358
2000,2,3,90.0375152587891,89.6125152587891,80.9750143051147
2000,2,4,94.2625152587891,94.8125152587891,89.2875152587891
2000,2,5,95.6125152587891,94.3125152587891,91.2250152587891
2000,2,6,91.1718902587891,87.0625152587891,72.7031378746033
2000,3,1,95.1125152587891,92.7250152587891,84.2125152587891
2000,3,2,94.4750152587891,93.7500152587891,87.8000152587891
2000,3,3,96.3250152587891,95.0875152587891,89.8625152587891
2000,3,4,91.0875152587891,90.6250152587891,77.1000133514404
2000,3,5,90.4250152587891,88.2125152587891,75.4125135421753
2000,3,6,78.8750152587891,64.8958468437195,44.0104217529297
2000,4,1,96.1875152587891,95.8875152587891,91.3000152587891
2000,4,2,93.9500152587891,91.4000152587891,83.3125144958496
2000,4,3,92.4375152587891,91.4750152587891,81.6250148773193
2000,4,4,84.5500152587891,80.9250152587891,69.1500122070313
2000,4,5,93.7250152587891,89.5875152587891,84.4750143051147
2000,4,6,95.0375152587891,91.4500152587891,83.0625141143799
2000,5,1,88.2625152587891,72.5250141143799,56.500009727478
2000,5,2,91.1000152587891,86.0125152587891,66.0375137329102
2000,5,3,86.7375152587891,58.2500133514404,42.0000047683716
2000,5,4,88.6750152587891,78.7250148773193,59.9000099182129
2000,5,5,88.2375152587891,79.7000150680542,68.0125131607056
2000,5,6,96.0208485921224,85.3125152587891,82.2187652587891
2000,6,1,93.7375152587891,72.1125152587891,64.9750152587891
2000,6,2,95.9375152587891,89.0875152587891,82.4250152587891
2000,6,3,89.5250152587891,84.8625152587891,72.2125131607056
2000,6,4,96.7000152587891,92.7250152587891,84.0250152587891
