year,month,hou,1000hPa_rhum,925hPa_rhum,850hPa_rhum
2000,1,1,80.6500152587891,73.7875148773193,77.4750137329102
2000,1,2,95.7000152587891,93.9500152587891,91.2875152587891
2000,1,3,95.7125152587891,95.2000152587891,89.0125152587891
2000,1,4,85.1625150680542,77.3250133514404,63.8625104904175
2000,1,5,93.1875152587891,90.2375150680542,89.0250152587891
2000,1,6,80.6041819254557,71.0312636693319,60.2604274749756
2000,2,1,92.3250152587891,92.2625152587891,85.4625150680542
2000,2,2,77.2500148773193,69.1000129699707,56.3125099182129
2000,2,3,87.5500152587891,82.5500146865845,71.8500114440918
2000,2,4,95.2375152587891,93.7875152587891,87.4500152587891
2000,2,5,92.0375152587891,91.4250152587891,86.8125150680542
2000,2,6,80.9843900203705,76.6250152587891,69.4062623977661
2000,3,1,89.4125150680542,89.2625150680542,82.2625146865845
2000,3,2,88.4125152587891,83.6500150680542,78.375013923645
2000,3,3,92.0375152587891,91.9000152587891,79.7000152587891
2000,3,4,86.8125152587891,83.2500152587891,70.4750123977661
2000,3,5,85.0625148773193,79.425013923645,66.7375101089478
2000,3,6,73.7395968437195,52.281257947286,40.7708371480306
2000,4,1,89.6500152587891,86.8875152587891,78.4625148773193
2000,4,2,84.8000150680542,76.6125137329102,67.2250118255615
2000,4,3,87.6625152587891,80.7750146865845,70.8000129699707
2000,4,4,85.7875152587891,76.4375148773193,63.6250101089478
2000,4,5,86.1000150680542,76.3375129699707,63.6750101089478
2000,4,6,82.9250148773193,71.5375129699707,62.4250101089478
2000,5,1,79.1625148773193,64.3125123977661,47.2250066757202
2000,5,2,88.6250152587891,74.0875146865845,58.7125114440918
2000,5,3,79.3125152587891,54.8000123977661,37.8125040054321
2000,5,4,85.1625148773193,65.6375116348267,49.9500064849854
2000,5,5,81.9250148773193,70.1500123977661,65.9625106811523
2000,5,6,94.8958485921224,87.8958485921224,79.5937646230062
2000,6,1,90.8125152587891,82.6750152587891,74.3125152587891
2000,6,2,96.1750152587891,89.6750152587891,84.7375152587891
2000,6,3,82.0125152587891,72.0875152587891,60.1250129699707
2000,6,4,89.8000152587891,71.8000152587891,62.1375133514404
2000,6,5,90.3750152587891,83.9625152587891,81.6750152587891
2000,6,6,87.5750152587891,72.5125152587891,64.2000150680542
2000,7,1,90.0750152587891,67.2750152587891,62.9875152587891
2000,7,2,88.9125152587891,70.2625152587891,59.7625146865845
2000,7,3,85.2500152587891,68.4000152587891,57.1250144958496
2000,7,4,89.4875152587891,77.2500152587891,76.1250152587891
2000,7,5,88.1625152587891,72.3000152587891,65.5250152587891
2000,7,6,86.2812652587891,64.7187638282776,58.0312616030375
2000,8,1,92.1625152587891,79.3500152587891,74.6750150680542
2000,8,2,91.5750152587891,72.0750152587891,72.0625152587891
2000,8,3,92.9125152587891,77.3625152587891,76.3000152587891
2000,8,4,94.3500152587891,81.1000152587891,78.0875152587891
2000,8,5,91.7625152587891,83.4125152587891,78.1125152587891
2000,8,6,94.3958485921224,85.8645985921224,75.9895985921224
2000,9,1,93.2000152587891,79.0375152587891,78.0250152587891
2000,9,2,92.3500152587891,88.6875152587891,82.5875152587891
2000,9,3,79.6500152587891,69.0500152587891,56.0500104904175
2000,9,4,69.5875144958496,55.6750131607056,55.0250108718872
2000,9,5,89.7875152587891,70.5750152587891,70.8875152587891
2000,9,6,97.2375152587891,88.6250152587891,87.1375152587891
2000,10,1,95.3875152587891,91.1625152587891,87.7250152587891
2000,10,2,90.5625152587891,72.5250152587891,69.2750152587891
2000,10,3,92.6625152587891,91.3625152587891,88.5875152587891
2000,10,4,94.4875152587891,95.1375152587891,88.8750152587891
2000,10,5,98.2250152587891,98.1750152587891,95.4750152587891
2000,10,6,87.3333485921224,80.54168176651,65.4791765213013
2000,11,1,67.9500152587891,56.362513923645,23.1125011444092
2000,11,2,89.6250152587891,89.8250152587891,83.1875137329102
2000,11,3,93.4875152587891,89.7875152587891,76.8875133514404
2000,11,4,88.9500152587891,84.5625148773193,66.8500114440918
2000,11,5,77.1375152587891,63.950013923645,46.6250059127808
2000,11,6,96.3000152587891,96.7625152587891,92.7125152587891
2000,12,1,85.1250152587891,73.5625146865845,54.050008392334
2000,12,2,82.0000152587891,74.8125148773193,73.9250141143799
2000,12,3,87.6375152587891,81.8625143051147,57.825009727478
2000,12,4,92.0375152587891,90.5625152587891,82.5375152587891
2000,12,5,76.6250150680542,52.3125104904175,27.3375007629395
2000,12,6,84.7187652587891,80.5937652587891,64.0729290644328
2001,1,1,87.9875152587891,86.8875152587891,79.4250143051147
2001,1,2,92.8875152587891,88.4375152587891,73.4000129699707
2001,1,3,81.6625148773193,65.837513923645,58.6625120162964
2001,1,4,86.3750144958496,85.9000148773193,84.2750152587891
2001,1,5,96.3875152587891,96.1875152587891,94.9125152587891
2001,1,6,81.3229319254557,65.7708450953166,50.3645915985107
2001,2,1,82.1625148773193,77.9500135421753,67.0625112533569
2001,2,2,91.2375152587891,89.8375152587891,81.212513923645
2001,2,3,90.2375152587891,84.8125150680542,67.7500108718872
2001,2,4,79.8125152587891,72.5125146865845,71.7625131607056
2001,2,5,92.1750152587891,89.2000152587891,74.9000129699707
2001,2,6,91.3750152587891,86.8125149408976,80.3750146230062
