year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计,1000hPa_air,925hPa_air,850hPa_air,1000hPa_omega,925hPa_omega,850hPa_omega,1000hPa_rhum,925hPa_rhum,850hPa_rhum,1000hPa_wind,925hPa_wind,850hPa_wind,1000hPa_azimuth,925hPa_azimuth,850hPa_azimuth,1000hPa_number,925hPa_number,850hPa_number
2000,1,1,,,,12.5412570476532,11.6500064611435,8.59250807762146,0.0032479524612426,0.0190854787826538,0.0222604513168335,81.1125152587891,68.8750150680542,64.6500135421753,2.50321388490469,4.36237966412313,5.84980101779531,191.423457760735,204.90248869995,275.709862928171,7.0,8.0,10.0
2000,1,2,,,,10.1137545108795,7.39875497817993,6.11000674962997,-0.0222394227981567,-0.0290770769119263,-0.0432395696640015,95.5500152587891,93.9125152587891,85.5250152587891,4.20664398860098,5.90236299075391,5.69465052580605,47.2582735362732,154.841691660861,176.577980315053,3.0,6.0,7.0
2000,1,3,,,,8.58625199794769,5.24000249803066,4.24500428140163,-0.0295519351959229,-0.0360395431518555,-0.0473269701004028,94.3750152587891,94.0125152587891,90.5125152587891,4.30596716024359,5.56558718673083,5.59426418051324,104.852755123279,154.381338437323,228.623778796124,4.0,6.0,9.0
2000,1,4,,,,3.49375760257244,-0.353743010479957,-2.79623876959085,-0.0108645677566528,0.0275980710983276,0.0480229616165161,86.4250148773193,75.6125131607056,55.475009727478,4.50708237095014,6.39446982969051,4.61554154848628,84.3170660345574,99.3505595799246,156.972246684666,4.0,4.0,6.0
2000,1,5,,,,5.87375194430351,3.3037552177906,2.72500459551811,-0.0090895414352417,-0.0168020725250244,-0.0311144828796387,92.1500152587891,86.8125150680542,78.2125135421753,5.42886925306232,7.44814128925317,7.01892286234788,81.8234003351274,101.471602507747,140.567337742695,4.0,4.0,6.0
2000,1,6,,,,-0.851033331205448,-4.10520018388828,-4.85728555017461,-0.0305644671122233,0.002789556980133,0.0116854310035706,75.7708481152852,60.2604285875956,40.9270895322164,5.42843678636311,7.16627183872292,4.4022262748596,79.2874133946007,42.1096043343616,104.124729630538,4.0,2.0,4.0
2000,2,1,,,,3.84000092148781,0.828758186474442,1.1887587890029,-0.0327769994735718,-0.0166020393371582,-0.0227770328521729,87.3875152587891,83.7250152587891,83.9125152587891,4.18974775842908,3.91325894706774,5.09133704162763,100.221265127906,138.544038438149,233.489700697161,4.0,6.0,9.0
2000,2,2,,,,5.54625850319862,2.45000146692619,0.807510342001933,-0.0072394847869873,0.0188979864120483,0.0255853891372681,78.0000150680542,66.6625131607056,48.1250074386597,2.97911570276862,4.69232490513752,5.51432194722979,127.736431902241,158.834068633962,232.424360453416,5.0,6.0,9.0
2000,2,3,,,,8.94000415802002,6.02000585645437,3.8475082680583,-0.0064520120620727,0.0118854999542236,0.023897910118103,89.4375152587891,83.0500148773193,73.0750131607056,3.3987319942672,3.97264381664939,4.23072263600673,54.2220386094512,71.0850601442976,287.161739223462,3.0,3.0,11.0
2000,2,4,,,,8.27875375747681,5.16500703543425,3.58250124454498,-0.0199772119522095,-0.0129644632339478,-0.0342895030975342,94.4750152587891,89.5875150680542,82.5000143051147,3.85247942173533,6.11624826741286,5.81692992725574,71.5130160066851,99.6162635984492,180.917373652197,3.0,4.0,7.0
2000,2,5,,,,5.70000302791595,1.86500393927099,0.0187484294176102,-0.0348520040512085,-0.019752025604248,-0.0499271154403687,90.7750152587891,86.1000150680542,78.9250143051147,5.835508859595,8.37537058991509,5.32922410377724,110.854441952877,130.34278596491,161.797570550275,5.0,5.0,6.0
2000,2,6,,,,5.83750680088997,2.08594471821561,-1.18593636632431,-0.0120176374912262,0.0251385867595673,0.0330917239189148,82.0468897819519,70.1406378746033,55.7812597751617,3.55974982584494,6.0455184831306,5.51939525226668,131.245150304873,143.337667592358,165.283805649066,5.0,6.0,7.0
