year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计,1000hPa_air,925hPa_air,850hPa_air,1000hPa_omega,925hPa_omega,850hPa_omega,1000hPa_rhum,925hPa_rhum,850hPa_rhum,1000hPa_wind,925hPa_wind,850hPa_wind,1000hPa_azimuth,925hPa_azimuth,850hPa_azimuth,1000hPa_number,925hPa_number,850hPa_number
2000.0,1.0,1,,,,21.153755569458,16.7850116729736,13.6200031280518,-0.0366020202636719,-0.0384520292282104,-0.0288269996643066,65.375012588501,65.375012588501,60.6625122070312,1.97097897669092,2.32533835290785,4.05088461781079,173.261023163016,177.191805818728,251.550649919868,7.0,7.0,9.0
2000.0,1.0,2,,,,21.7850040435791,17.4650012969971,14.1025058746338,-0.0686270952224732,-0.074039626121521,-0.077564525604248,59.9125104904175,59.9125104904175,55.7000095367432,1.72892840440171,2.15706752684807,4.60299439631786,234.853475020711,224.747977069184,244.500551761631,9.0,8.0,9.0
2000.0,1.0,3,,,,21.5400104522705,17.4012546539307,14.4500080108643,-0.0770395994186401,-0.0831395387649536,-0.0691519975662231,54.187509727478,54.187509727478,45.2250070571899,2.25039318929147,2.8725662196284,5.28577219313088,226.302481776965,224.258638917563,251.09965959005,9.0,8.0,9.0
2000.0,1.0,4,,,,16.1900043487549,11.7725054740906,8.63750932216644,-0.0875144720077515,-0.0898396015167236,-0.107989501953125,75.1875137329102,75.1750137329102,73.5125131607056,1.8312138721728,2.20663730220306,3.51904436709829,136.60263127305,131.053303602091,166.432306117403,6.0,5.0,7.0
2000.0,1.0,5,,,,18.8075016021729,14.4512561559677,10.6087558269501,-0.0722520112991333,-0.0728020191192627,-0.0931768417358398,87.8875152587891,87.9125152587891,87.0875152587891,2.8848588581414,3.09685119013928,5.08209634404336,140.579333412777,140.364516428216,159.711806627497,6.0,6.0,6.0
2000.0,1.0,6,,,,12.2156327168147,7.911466345191,3.91042479872704,-0.100074927012126,-0.102658271789551,-0.113699932893117,81.88543176651,82.0000150998433,85.8125152587891,3.13611624487622,3.25077758748078,4.66759826832597,100.577600678654,96.9728045364278,120.909046617143,4.0,4.0,5.0
2000.0,2.0,1,,,,17.4200092315674,13.2062564373016,10.156257891655,-0.0991394996643066,-0.107764410972595,-0.10708954334259,70.8875144958496,70.8500144958496,68.2625144958496,2.20246394227801,2.5249614699457,3.73075219862234,159.39706551983,158.94305415298,196.358361665056,6.0,6.0,8.0
2000.0,2.0,2,,,,17.7275043487549,13.5475070953369,10.1412509202957,-0.0847270011901855,-0.0845770359039307,-0.0912519693374634,76.6750143051147,76.6750143051147,77.2500141143799,1.77468638102114,2.19757078769316,3.73019333099029,150.300979175972,143.580147385804,180.345422796679,6.0,6.0,7.0
2000.0,2.0,3,,,,22.4862552642822,18.253755569458,14.958752822876,-0.0868271589279175,-0.087226939201355,-0.0839771270751953,56.4625102996826,56.4625102996826,52.925008392334,1.97986054995444,2.42809019373929,4.4973995443611,192.695834471014,191.588825895979,221.013271950935,7.0,7.0,8.0
2000.0,2.0,4,,,,22.9287586212158,18.6025043487549,15.1662586212158,-0.0797644853591919,-0.0775644540786743,-0.0827144384384155,72.4875127792358,72.4875127792358,69.7000127792358,2.72447218791869,3.37652192553722,6.27653905450028,194.100030713842,194.025143883566,218.69588269075,7.0,7.0,8.0
2000.0,2.0,5,,,,21.9850086212158,17.6937549352646,14.0850024700165,-0.0995896100997925,-0.102801918983459,-0.120851993560791,56.150009727478,56.137509727478,55.0000089645386,2.36942574167471,3.06012890578656,5.37237910143299,170.921331482425,163.495194195497,192.891368306412,7.0,6.0,7.0
2000.0,2.0,6,,,,13.2484474182129,8.82032373547554,5.33750493079424,-0.0755801200866699,-0.0810019373893738,-0.0915020704269409,89.9375152587891,89.9062652587891,90.5312652587891,2.65276125574214,2.90019315182141,4.57406729584605,97.65461385621,91.1142569215516,119.232022979477,4.0,4.0,5.0
2000.0,3.0,1,,,,19.5250049591064,15.4925067663193,12.2000110149384,-0.0595144748687744,-0.0649895429611206,-0.054364538192749,78.8500133514404,78.8500133514404,73.875012588501,2.22041405698731,2.67153668548822,5.09618334561676,189.742303195974,188.571903308789,217.13091680939,7.0,7.0,8.0
2000.0,3.0,2,,,,23.5050052642822,19.3050098419189,15.5725040435791,-0.086452054977417,-0.0954520225524902,-0.123177051544189,68.4250122070312,68.4250122070312,65.6625118255615,1.49756589079768,2.18747316552395,4.48658433590305,169.192497080648,163.331934460489,206.115556921054,7.0,6.0,8.0
2000.0,3.0,3,,,,24.0512516021729,19.9475040435791,16.4075031280518,-0.0411394357681274,-0.0471646070480347,-0.0512894630432129,60.5125110626221,60.5125110626221,55.3125104904175,1.39959152683709,1.6796398197212,4.16045891590169,224.644521112927,206.302383880255,233.800011016503,8.0,8.0,9.0
2000.0,3.0,4,,,,25.1500049591064,20.8975086212158,17.3887577056885,-0.0491019248962402,-0.0601020574569702,-0.0781020402908325,59.4000102996826,59.4000102996826,55.987509727478,1.3880046405522,1.87688441422792,3.85421318831427,181.175569714659,175.716487879261,217.327238250621,7.0,7.0,8.0
2000.0,3.0,5,,,,25.3149997711182,21.015002822876,17.0387546539307,-0.059764575958252,-0.0622145891189575,-0.087201976776123,64.0375108718872,64.0375108718872,64.6375106811523,2.27022388648099,2.70804277673014,4.16118228137878,149.725233804503,147.802573274735,175.012043982747,6.0,6.0,7.0
2000.0,3.0,6,,,,24.7510471343994,20.6052150726318,16.4937559763591,-0.0570124586423238,-0.0505541563034058,-0.0298249324162801,72.4270974795024,72.4479308128357,70.4479309717814,1.95685887494167,2.11361171670119,3.47866060996988,180.043131202173,172.83972442441,186.652661034857,7.0,7.0,7.0
2000.0,4.0,1,,,,26.40500831604,22.2187595367432,18.2887531280518,-0.0344646215438843,-0.0398395776748657,-0.0637018918991089,64.3750104904175,64.3750104904175,61.8750101089478,1.55015614099662,1.76494086203064,2.77871256939065,154.039197288292,153.099754782058,211.63648914054,6.0,6.0,8.0
2000.0,4.0,2,,,,25.3662525177002,21.1687549591064,17.7000141143799,-0.0789394378662109,-0.0903020858764648,-0.115501999855042,85.7125144958496,85.7125144958496,81.2125144958496,1.94635988576596,2.50250830233003,4.72657847592766,143.069775531048,145.047941610115,185.813072018871,6.0,6.0,7.0
2000.0,4.0,3,,,,24.590002822876,20.5175113677979,16.9412570953369,-0.0486645460128784,-0.0453646183013916,-0.0466894626617432,84.6875144958496,84.6875144958496,77.6125141143799,2.28046873644771,2.7971139139216,5.01410465748653,148.144399102872,145.753526526017,162.169073096865,6.0,6.0,6.0
2000.0,4.0,4,,,,26.7337512969971,22.4524997711182,18.1737567901611,-0.0521894693374634,-0.0546770811080933,-0.0421519994735718,70.3000133514404,70.3000133514404,69.0500131607056,2.43511327881324,2.71526227970373,4.59615858657474,221.961577460631,204.469604328269,217.377759110823,8.0,8.0,8.0
2000.0,4.0,5,,,,28.2150043487549,24.0912601470947,20.2725040435791,-0.0553270578384399,-0.058351993560791,-0.0468270540237427,76.8375141143799,76.8375141143799,71.0000143051147,1.73818634133418,2.26901854324262,4.7014107688897,204.962965190971,204.759604305043,231.691364064633,8.0,8.0,9.0
2000.0,4.0,6,,,,27.0075061798096,22.791255569458,18.5750080108643,-0.0771520137786865,-0.0813645601272583,-0.075664496421814,81.6375148773193,81.6375148773193,77.6125143051147,1.44197301182989,1.76969493368284,3.4904651466473,175.182338248019,179.014901359578,234.56531146955,7.0,7.0,9.0
2000.0,5.0,1,,,,27.0850070953369,22.74875831604,18.4337574005127,-0.0372271060943603,-0.0423645734786987,-0.0523021697998047,84.9250148773193,84.9250148773193,79.9750143051147,1.5149847532005,1.90882972622688,2.9266892293989,100.989148578119,139.778914793927,159.510923959138,4.0,6.0,6.0
2000.0,5.0,2,,,,28.4112567901611,24.0837543487549,19.9387531280518,-0.0460144281387329,-0.051952052116394,-0.0489019870758057,87.0750152587891,87.0750152587891,81.9125150680542,1.99478836599009,2.53631365364825,4.08174425292469,138.757962302307,138.234803301139,155.802561481128,6.0,6.0,6.0
2000.0,5.0,3,,,,27.7837543487549,23.4900119781494,19.0725070953369,-0.0297269582748413,-0.0359519481658936,-0.0325644493103027,88.6875152587891,88.6875152587891,83.9625152587891,1.40764239531252,1.58899912415379,3.22839184987401,124.556763868474,124.913158670334,133.154896494919,5.0,5.0,5.0
2000.0,5.0,4,,,,24.8662525177002,20.5475040435791,16.0562564849854,0.000935411453247,-0.0065644264221191,-0.0287770986557007,87.8500152587891,87.8500152587891,84.3875152587891,2.3051141701818,2.90228690966732,4.64263040314394,45.0406635168001,46.6257822419577,64.6369234145819,3.0,3.0,3.0
2000.0,5.0,5,,,,27.7575107574463,23.4250019073486,19.0000003814697,-0.0589895009994507,-0.0688020944595337,-0.0536771535873413,88.0500152587891,88.0500152587891,86.7875152587891,2.43877185505891,2.64030472346834,4.59298492883823,199.036704780404,189.767979345603,195.710379110731,8.0,7.0,8.0
2000.0,5.0,6,,,,29.6031322479248,25.3802140553792,20.9916718800863,-0.0758874615033468,-0.0811375180880229,-0.0848040779431661,93.5416819254557,93.5416819254557,88.2500152587891,1.84955452753738,2.34345408657528,3.71986093717295,218.087415377853,215.758782019161,184.969827866567,8.0,8.0,7.0
2000.0,6.0,1,,,,29.9362567901611,25.5362552642822,21.0662494659424,-0.0486020088195801,-0.060039496421814,-0.0496269702911377,91.1500152587891,91.1500152587891,87.4000152587891,3.15091134123701,3.54005886235376,6.04159199310316,176.365219184603,177.93937535594,188.917440704142,7.0,7.0,7.0
2000.0,6.0,2,,,,30.0737567901611,25.8262577056885,21.4612506866455,-0.0733770847320557,-0.0728270053863525,-0.0529894828796387,93.4500152587891,93.4500152587891,87.5000152587891,1.92971116832413,2.40168979898599,3.93626417729491,205.053749891855,209.705091771504,238.274425561246,8.0,8.0,9.0
2000.0,6.0,3,,,,27.0250064849854,22.7925067901611,18.2837512969971,-0.0814521789550781,-0.0866269588470459,-0.105227041244507,97.8375152587891,97.8375152587891,96.6625152587891,1.50838262612879,2.02129358510363,2.34698129354317,111.381597206788,105.54587210835,137.071270978272,5.0,5.0,6.0
2000.0,6.0,4,,,,28.652502822876,24.2912570953369,19.7175067901611,-0.0580020904541016,-0.064927077293396,-0.0769019842147827,96.0250152587891,96.0250152587891,93.8375152587891,1.50851253002621,1.8973845488195,3.78879098727981,149.654124909593,127.230952417051,144.689263989378,6.0,5.0,6.0
2000.0,6.0,5,,,,29.7662525177002,25.5625080108643,21.1250034332275,-0.0548020362854004,-0.0631519317626953,-0.0386770725250244,91.8375152587891,91.8375152587891,88.3125152587891,3.65726830876791,4.07615185691388,6.3753417136042,220.928438987262,221.415980176354,233.148738134748,8.0,8.0,9.0
